銘柄名,証券コード,上場区分,区分,購入時期,買値,売却入時期,売値,値幅,アップ率
アネスト岩田(株),6381,東証1部,機械,2010年10月28日,221円買い,2010年12月20日,346円売り,125円,56.56%(1.57倍)
東建コーポレーション(株),1766,東証1部,建設業,2010年1月29日,1963円買い,2010年12月29日,3070円売り,1107円,56.39%(1.56倍)
(株)メイテック,9744,東証1部,サービス業,2010年1月4日,1270円買い,2010年4月6日,1986円売り,716円,56.38%(1.56倍)
ネットワンシステムズ(株),7518,東証1部,情報・通信業,2010年2月12日,456.5円買い,2010年4月26日,713.5円売り,257円,56.3%(1.56倍)
(株)ニッセンホールディングス,8248,東証1部,小売業,2010年1月7日,267円買い,2010年12月20日,417円売り,150円,56.18%(1.56倍)
オークマ(株),6103,東証1部,機械,2010年8月31日,407円買い,2010年12月29日,635円売り,228円,56.02%(1.56倍)
(株)ベルーナ,9997,東証1部,小売業,2010年2月1日,178.5円買い,2010年4月28日,278円売り,99.5円,55.74%(1.56倍)
(株)あみやき亭,2753,東証1部,小売業,2010年1月8日,1866円買い,2010年4月6日,2906円売り,1040円,55.73%(1.56倍)
トピー工業(株),7231,東証1部,輸送用機器,2010年2月15日,148円買い,2010年12月16日,230円売り,82円,55.41%(1.55倍)
シミックホールディングス(株),2309,東証1部,サービス業,2010年1月4日,901円買い,2010年4月26日,1400円売り,499円,55.38%(1.55倍)
日機装(株),6376,東証1部,精密機器,2010年2月3日,503円買い,2010年6月22日,780円売り,277円,55.07%(1.55倍)
スミダコーポレーション(株),6817,東証1部,電気機器,2010年8月24日,604円買い,2010年12月17日,936円売り,332円,54.97%(1.55倍)
(株)ネクスト,2120,東証1部,サービス業,2010年5月26日,204.67円買い,2010年12月24日,316.67円売り,112円,54.72%(1.55倍)
富士エレクトロニクス(株),9883,東証1部,卸売業,2010年2月24日,811円買い,2010年12月30日,1253円売り,442円,54.5%(1.55倍)
ＩＤＥＣ(株),6652,東証1部,電気機器,2010年2月1日,605円買い,2010年4月27日,933円売り,328円,54.21%(1.54倍)
(株)日立製作所,6501,東証1部,電気機器,2010年1月5日,281円買い,2010年12月30日,433円売り,152円,54.09%(1.54倍)
(株)松屋,8237,東証1部,小売業,2010年10月13日,409円買い,2010年11月25日,630円売り,221円,54.03%(1.54倍)
蛇の目ミシン工業(株),6445,東証1部,機械,2010年11月1日,50円買い,2010年12月20日,77円売り,27円,54%(1.54倍)
(株)不二越,6474,東証1部,機械,2010年1月4日,204円買い,2010年4月7日,314円売り,110円,53.92%(1.54倍)
ダイト(株),4577,東証1部,医薬品,2010年10月1日,612円買い,2010年12月29日,942円売り,330円,53.92%(1.54倍)
(株)長谷工コーポレーション,1808,東証1部,建設業,2010年1月4日,325円買い,2010年4月14日,500円売り,175円,53.85%(1.54倍)
(株)大紀アルミニウム工業所,5702,東証1部,非鉄金属,2010年2月18日,186円買い,2010年5月14日,286円売り,100円,53.76%(1.54倍)
神鋼商事(株),8075,東証1部,卸売業,2010年2月9日,147円買い,2010年4月26日,226円売り,79円,53.74%(1.54倍)
(株)アルプス技研,4641,東証1部,サービス業,2010年2月10日,518円買い,2010年4月9日,795円売り,277円,53.47%(1.53倍)
(株)タクマ,6013,東証1部,機械,2010年9月1日,159円買い,2010年12月17日,244円売り,85円,53.46%(1.53倍)
ＧＭＯインターネット(株),9449,東証1部,情報・通信業,2010年11月2日,279円買い,2010年12月17日,428円売り,149円,53.41%(1.53倍)
(株)大京,8840,東証1部,不動産業,2010年10月5日,109円買い,2010年12月29日,167円売り,58円,53.21%(1.53倍)
千代田化工建設(株),6366,東証1部,建設業,2010年8月25日,550円買い,2010年12月17日,842円売り,292円,53.09%(1.53倍)
(株)リニカル,2183,東証1部,サービス業,2010年8月24日,281円買い,2010年12月13日,430円売り,149円,53.02%(1.53倍)
稲畑産業(株),8098,東証1部,卸売業,2010年1月4日,334円買い,2010年5月6日,511円売り,177円,52.99%(1.53倍)
ファナック(株),6954,東証1部,電気機器,2010年1月27日,8250円買い,2010年12月29日,12620円売り,4370円,52.97%(1.53倍)
東亜建設工業(株),1885,東証1部,建設業,2010年10月29日,68円買い,2010年12月17日,104円売り,36円,52.94%(1.53倍)
東京製綱(株),5981,東証1部,金属製品,2010年8月16日,182円買い,2010年12月15日,278円売り,96円,52.75%(1.53倍)
(株)遠藤照明,6932,東証1部,電気機器,2010年10月22日,287円買い,2010年12月8日,438円売り,151円,52.61%(1.53倍)
ＴＯＷＡ(株),6315,東証1部,機械,2010年9月1日,443円買い,2010年12月7日,675円売り,232円,52.37%(1.52倍)
第一実業(株),8059,東証1部,卸売業,2010年2月5日,220円買い,2010年12月24日,335円売り,115円,52.27%(1.52倍)
(株)大塚商会,4768,東証1部,情報・通信業,2010年1月4日,4630円買い,2010年4月26日,7050円売り,2420円,52.27%(1.52倍)
エスペック(株),6859,東証1部,電気機器,2010年9月2日,433円買い,2010年12月29日,659円売り,226円,52.19%(1.52倍)
ＯＳＪＢホールディングス(株),5912,東証1部,金属製品,2010年8月25日,69円買い,2010年9月8日,105円売り,36円,52.17%(1.52倍)
(株)やまびこ,6250,東証1部,機械,2010年10月25日,584円買い,2010年12月22日,888円売り,304円,52.05%(1.52倍)
小野建(株),7414,東証1部,卸売業,2010年2月24日,588円買い,2010年4月21日,894円売り,306円,52.04%(1.52倍)
