銘柄名,証券コード,上場区分,区分,購入時期,買値,売却入時期,売値,値幅,アップ率
大林道路(株),1896,東証1部,建設業,2010年11月2日,128円買い,2010年12月14日,163円売り,35円,27.34%(1.27倍)
グリー(株),3632,東証1部,情報・通信業,2010年11月2日,882円買い,2010年12月20日,1123円売り,241円,27.32%(1.27倍)
コンドーテック(株),7438,東証1部,卸売業,2010年1月6日,271円買い,2010年4月28日,345円売り,74円,27.31%(1.27倍)
三愛石油(株),8097,東証1部,卸売業,2010年8月11日,326円買い,2010年12月21日,415円売り,89円,27.3%(1.27倍)
カシオ計算機(株),6952,東証1部,電気機器,2010年7月1日,535円買い,2010年12月21日,681円売り,146円,27.29%(1.27倍)
平河ヒューテック(株),5821,東証1部,非鉄金属,2010年10月21日,561円買い,2010年12月30日,714円売り,153円,27.27%(1.27倍)
テンプホールディングス(株),2181,東証1部,サービス業,2010年3月16日,638円買い,2010年4月15日,812円売り,174円,27.27%(1.27倍)
ＪＳＲ(株),4185,東証1部,化学,2010年8月25日,1208円買い,2010年12月29日,1537円売り,329円,27.24%(1.27倍)
日本電産(株),6594,東証1部,電気機器,2010年10月12日,3470円買い,2010年12月8日,4415円売り,945円,27.23%(1.27倍)
テイカ(株),4027,東証1部,化学,2010年2月15日,228円買い,2010年12月17日,290円売り,62円,27.19%(1.27倍)
東洋鋼鈑(株),5453,東証1部,鉄鋼,2010年9月2日,394円買い,2010年12月30日,501円売り,107円,27.16%(1.27倍)
ＮＥＣフィールディング(株),2322,東証1部,サービス業,2010年11月2日,847円買い,2010年12月15日,1077円売り,230円,27.15%(1.27倍)
東ソー(株),4042,東証1部,化学,2010年8月31日,210円買い,2010年12月29日,267円売り,57円,27.14%(1.27倍)
カナレ電気(株),5819,東証1部,非鉄金属,2010年2月10日,1051円買い,2010年3月24日,1336円売り,285円,27.12%(1.27倍)
東海東京フィナンシャル・ホールディングス,8616,東証1部,証券商品先物,2010年10月4日,262円買い,2010年12月17日,333円売り,71円,27.1%(1.27倍)
クリナップ(株),7955,東証1部,その他製品,2010年9月3日,454円買い,2010年12月14日,577円売り,123円,27.09%(1.27倍)
(株)やまや,9994,東証1部,小売業,2010年2月12日,600.91円買い,2010年4月23日,763.64円売り,162.73円,27.08%(1.27倍)
日立金属(株),5486,東証1部,鉄鋼,2010年2月9日,831円買い,2010年7月15日,1056円売り,225円,27.08%(1.27倍)
日本ケミファ(株),4539,東証1部,医薬品,2010年10月29日,229円買い,2010年12月27日,291円売り,62円,27.07%(1.27倍)
(株)クラレ,3405,東証1部,化学,2010年8月25日,936円買い,2010年12月10日,1189円売り,253円,27.03%(1.27倍)
スタンレー電気(株),6923,東証1部,電気機器,2010年8月24日,1243円買い,2010年12月21日,1579円売り,336円,27.03%(1.27倍)
(株)綜合臨床ホールディングス,2399,東証1部,サービス業,2010年11月2日,169.25円買い,2010年12月22日,215円売り,45.75円,27.03%(1.27倍)
トナミホールディングス(株),9070,東証1部,陸運業,2010年10月29日,126円買い,2010年12月17日,160円売り,34円,26.98%(1.27倍)
ワタベウェディング(株),4696,東証1部,サービス業,2010年11月12日,739円買い,2010年12月20日,938円売り,199円,26.93%(1.27倍)
新日本理化(株),4406,東証1部,化学,2010年10月21日,78円買い,2010年12月29日,99円売り,21円,26.92%(1.27倍)
ぴあ(株),4337,東証1部,サービス業,2010年10月27日,654円買い,2010年12月14日,830円売り,176円,26.91%(1.27倍)
ＴＤＣソフトウェアエンジニアリング,4687,東証1部,情報・通信業,2010年10月29日,617円買い,2010年12月29日,783円売り,166円,26.9%(1.27倍)
レシップホールディングス(株),7213,東証1部,輸送用機器,2010年1月26日,286.5円買い,2010年9月16日,363.5円売り,77円,26.88%(1.27倍)
北越紀州製紙(株),3865,東証1部,パルプ・紙,2010年10月29日,372円買い,2010年12月22日,472円売り,100円,26.88%(1.27倍)
(株)良品計画,7453,東証1部,小売業,2010年10月19日,2743円買い,2010年12月17日,3480円売り,737円,26.87%(1.27倍)
(株)立花エレテック,8159,東証1部,卸売業,2010年10月21日,551円買い,2010年12月22日,699円売り,148円,26.86%(1.27倍)
第一屋製パン(株),2215,東証1部,食料品,2010年10月29日,82円買い,2010年12月1日,104円売り,22円,26.83%(1.27倍)
新晃工業(株),6458,東証1部,機械,2010年11月4日,239円買い,2010年12月9日,303円売り,64円,26.78%(1.27倍)
星光ＰＭＣ(株),4963,東証1部,化学,2010年2月1日,251円買い,2010年4月27日,318円売り,67円,26.69%(1.27倍)
ＯＳＧ,6136,東証1部,機械,2010年9月1日,776円買い,2010年12月30日,983円売り,207円,26.68%(1.27倍)
センコー(株),9069,東証1部,陸運業,2010年11月12日,229円買い,2010年12月29日,290円売り,61円,26.64%(1.27倍)
北沢産業(株),9930,東証1部,卸売業,2010年11月2日,139円買い,2010年12月29日,176円売り,37円,26.62%(1.27倍)
(株)近鉄エクスプレス,9375,東証1部,倉庫運輸関連,2010年10月27日,1834円買い,2010年12月30日,2322円売り,488円,26.61%(1.27倍)
日本テレビホールディングス(株),9404,東証1部,情報・通信業,2010年10月26日,1022円買い,2010年12月27日,1293円売り,271円,26.52%(1.27倍)
(株)島忠,8184,東証1部,小売業,2010年10月14日,1527円買い,2010年12月15日,1932円売り,405円,26.52%(1.27倍)
極東証券(株),8706,東証1部,証券商品先物,2010年11月2日,562円買い,2010年12月16日,711円売り,149円,26.51%(1.27倍)
ショーボンドホールディングス(株),1414,東証1部,建設業,2010年1月29日,1525円買い,2010年8月10日,1929円売り,404円,26.49%(1.26倍)
伯東(株),7433,東証1部,卸売業,2010年11月2日,657円買い,2010年12月17日,831円売り,174円,26.48%(1.26倍)
(株)ソフトクリエイトホールディングス,3371,東証1部,情報・通信業,2010年1月8日,280円買い,2010年12月30日,354円売り,74円,26.43%(1.26倍)
昭和シェル石油(株),5002,東証1部,石油石炭製品,2010年3月25日,602円買い,2010年12月27日,761円売り,159円,26.41%(1.26倍)
三菱化工機(株),6331,東証1部,機械,2010年11月2日,148円買い,2010年12月17日,187円売り,39円,26.35%(1.26倍)
コーセル(株),6905,東証1部,電気機器,2010年10月12日,987円買い,2010年12月13日,1247円売り,260円,26.34%(1.26倍)
若築建設(株),1888,東証1部,建設業,2010年10月25日,38円買い,2010年12月8日,48円売り,10円,26.32%(1.26倍)
岩崎通信機(株),6704,東証1部,電気機器,2010年10月21日,57円買い,2010年12月8日,72円売り,15円,26.32%(1.26倍)
大倉工業(株),4221,東証1部,化学,2010年10月28日,194円買い,2010年12月22日,245円売り,51円,26.29%(1.26倍)
積水化成品工業(株),4228,東証1部,化学,2010年11月2日,293円買い,2010年12月24日,370円売り,77円,26.28%(1.26倍)
(株)不二家,2211,東証1部,食料品,2010年11月1日,137円買い,2010年12月14日,173円売り,36円,26.28%(1.26倍)
日本海洋掘削(株),1606,東証1部,鉱業,2010年10月6日,2224円買い,2010年12月15日,2808円売り,584円,26.26%(1.26倍)
リオン(株),6823,東証1部,電気機器,2010年6月8日,442円買い,2010年12月22日,558円売り,116円,26.24%(1.26倍)
(株)Ｏｌｙｍｐｉｃグループ,8289,東証1部,小売業,2010年5月27日,538円買い,2010年9月29日,679円売り,141円,26.21%(1.26倍)
三菱ＵＦＪリース(株),8593,東証1部,その他金融業,2010年11月2日,259.5円買い,2010年12月14日,327.5円売り,68円,26.2%(1.26倍)
(株)ザッパラス,3770,東証1部,情報・通信業,2010年10月5日,1038円買い,2010年12月16日,1310円売り,272円,26.2%(1.26倍)
川田テクノロジーズ(株),3443,東証1部,金属製品,2010年11月2日,1227円買い,2010年12月14日,1548円売り,321円,26.16%(1.26倍)
(株)エービーシー・マート,2670,東証1部,小売業,2010年9月3日,2386円買い,2010年12月15日,3010円売り,624円,26.15%(1.26倍)
新光商事(株),8141,東証1部,卸売業,2010年11月1日,547円買い,2010年12月21日,690円売り,143円,26.14%(1.26倍)
(株)ＴＹＫ,5363,東証1部,ガラス土石製品,2010年11月2日,176円買い,2010年12月20日,222円売り,46円,26.14%(1.26倍)
キョーリン製薬ホールディングス(株),4569,東証1部,医薬品,2010年8月12日,1141円買い,2010年12月17日,1439円売り,298円,26.12%(1.26倍)
ユニ・チャーム(株),8113,東証1部,化学,2010年3月4日,2810円買い,2010年7月28日,3543.33円売り,733.33円,26.1%(1.26倍)
大阪製鐵(株),5449,東証1部,鉄鋼,2010年6月10日,1146円買い,2010年12月20日,1445円売り,299円,26.09%(1.26倍)
(株)淺沼組,1852,東証1部,建設業,2010年11月2日,46円買い,2010年12月17日,58円売り,12円,26.09%(1.26倍)
アクシアル　リテイリング(株),8255,東証1部,小売業,2010年5月27日,951円買い,2010年12月21日,1199円売り,248円,26.08%(1.26倍)
西尾レントオール(株),9699,東証1部,サービス業,2010年10月18日,468円買い,2010年12月28日,590円売り,122円,26.07%(1.26倍)
ＡＮＡホールディングス(株),9202,東証1部,空運業,2010年2月15日,257円買い,2010年9月15日,324円売り,67円,26.07%(1.26倍)
(株)ニコン,7731,東証1部,精密機器,2010年8月25日,1372円買い,2010年11月22日,1729円売り,357円,26.02%(1.26倍)
(株)大東銀行,8563,東証1部,銀行業,2010年10月29日,50円買い,2010年12月22日,63円売り,13円,26%(1.26倍)
(株)ダイユーエイト,2662,東証1部,小売業,2010年10月22日,427円買い,2010年12月29日,538円売り,111円,26%(1.26倍)
(株)野村総合研究所,4307,東証1部,情報・通信業,2010年10月13日,1463円買い,2010年12月29日,1843円売り,380円,25.97%(1.26倍)
(株)タケエイ,2151,東証1部,サービス業,2010年10月6日,256.67円買い,2010年12月15日,323.33円売り,66.67円,25.97%(1.26倍)
(株)アダストリアホールディングス,2685,東証1部,小売業,2010年10月4日,3080円買い,2010年11月25日,3880円売り,800円,25.97%(1.26倍)
木村化工機(株),6378,東証1部,機械,2010年10月29日,505円買い,2010年12月28日,636円売り,131円,25.94%(1.26倍)
(株)アデランス,8170,東証1部,その他製品,2010年11月2日,918円買い,2010年12月3日,1156円売り,238円,25.93%(1.26倍)
(株)アイティフォー,4743,東証1部,情報・通信業,2010年10月21日,228円買い,2010年12月22日,287円売り,59円,25.88%(1.26倍)
日立化成(株),4217,東証1部,化学,2010年11月1日,1368円買い,2010年12月13日,1722円売り,354円,25.88%(1.26倍)
旭硝子(株),5201,東証1部,ガラス土石製品,2010年10月29日,773円買い,2010年12月27日,973円売り,200円,25.87%(1.26倍)
(株)ジーエス・ユアサ　コーポレーション,6674,東証1部,電気機器,2010年8月26日,492円買い,2010年9月17日,619円売り,127円,25.81%(1.26倍)
(株)石井鐵工所,6362,東証1部,機械,2010年11月2日,128円買い,2010年12月16日,161円売り,33円,25.78%(1.26倍)
前澤工業(株),6489,東証1部,機械,2010年11月2日,132円買い,2010年12月17日,166円売り,34円,25.76%(1.26倍)
北野建設(株),1866,東証1部,建設業,2010年10月29日,167円買い,2010年12月17日,210円売り,43円,25.75%(1.26倍)
佐世保重工業(株),7007,東証1部,輸送用機器,2010年11月2日,136円買い,2010年12月16日,171円売り,35円,25.74%(1.26倍)
セントラル硝子(株),4044,東証1部,化学,2010年8月25日,303円買い,2010年12月9日,381円売り,78円,25.74%(1.26倍)
林兼産業(株),2286,東証1部,食料品,2010年11月2日,70円買い,2010年12月15日,88円売り,18円,25.71%(1.26倍)
(株)ケーユーホールディングス,9856,東証1部,小売業,2010年7月21日,284円買い,2010年12月27日,357円売り,73円,25.7%(1.26倍)
大建工業(株),7905,東証1部,その他製品,2010年11月2日,179円買い,2010年11月26日,225円売り,46円,25.7%(1.26倍)
(株)パルコ,8251,東証1部,小売業,2010年8月12日,611円買い,2010年12月17日,768円売り,157円,25.7%(1.26倍)
コニカミノルタ(株),4902,東証1部,電気機器,2010年8月25日,725円買い,2010年11月22日,911円売り,186円,25.66%(1.26倍)
双葉電子工業(株),6986,東証1部,電気機器,2010年8月16日,1272円買い,2010年12月17日,1598円売り,326円,25.63%(1.26倍)
シナネン(株),8132,東証1部,卸売業,2010年10月27日,301円買い,2010年12月29日,378円売り,77円,25.58%(1.26倍)
東亞合成(株),4045,東証1部,化学,2010年8月25日,318円買い,2010年12月15日,399円売り,81円,25.47%(1.25倍)
文化シヤッター(株),5930,東証1部,金属製品,2010年10月28日,173円買い,2010年12月16日,217円売り,44円,25.43%(1.25倍)
４℃ホールディングス,8008,東証1部,小売業,2010年11月30日,649円買い,2010年12月29日,814円売り,165円,25.42%(1.25倍)
トーヨーカネツ(株),6369,東証1部,機械,2010年10月28日,122円買い,2010年12月16日,153円売り,31円,25.41%(1.25倍)
(株)ＬＩＸＩＬグループ,5938,東証1部,金属製品,2010年10月13日,1446円買い,2010年12月21日,1813円売り,367円,25.38%(1.25倍)
多木化学(株),4025,東証1部,化学,2010年2月25日,414円買い,2010年5月10日,519円売り,105円,25.36%(1.25倍)
長谷川香料(株),4958,東証1部,化学,2010年2月1日,1232円買い,2010年9月29日,1544円売り,312円,25.32%(1.25倍)
栄研化学(株),4549,東証1部,医薬品,2010年8月31日,771円買い,2010年12月21日,966円売り,195円,25.29%(1.25倍)
(株)ＣＦＳコーポレーション,8229,東証1部,小売業,2010年11月2日,360円買い,2010年12月28日,451円売り,91円,25.28%(1.25倍)
住友電設(株),1949,東証1部,建設業,2010年11月2日,277円買い,2010年12月29日,347円売り,70円,25.27%(1.25倍)
高砂熱学工業(株),1969,東証1部,建設業,2010年11月2日,566円買い,2010年12月17日,709円売り,143円,25.27%(1.25倍)
伊藤忠商事(株),8001,東証1部,卸売業,2010年7月22日,669円買い,2010年12月29日,838円売り,169円,25.26%(1.25倍)
京セラ(株),6971,東証1部,電気機器,2010年7月1日,3505円買い,2010年12月9日,4390円売り,885円,25.25%(1.25倍)
東洋炭素(株),5310,東証1部,ガラス土石製品,2010年6月7日,3890円買い,2010年11月8日,4870円売り,980円,25.19%(1.25倍)
(株)Ｊ−オイルミルズ,2613,東証1部,食料品,2010年10月25日,207円買い,2010年12月17日,259円売り,52円,25.12%(1.25倍)
(株)シーイーシー,9692,東証1部,情報・通信業,2010年9月1日,335円買い,2010年12月29日,419円売り,84円,25.07%(1.25倍)
(株)ミルボン,4919,東証1部,化学,2010年1月4日,1514.39円買い,2010年12月15日,1893.94円売り,379.55円,25.06%(1.25倍)
中部飼料(株),2053,東証1部,食料品,2010年11月1日,471円買い,2010年12月16日,589円売り,118円,25.05%(1.25倍)
ＮＥＣキャピタルソリューション(株),8793,東証1部,その他金融業,2010年10月15日,970円買い,2010年12月17日,1213円売り,243円,25.05%(1.25倍)
佐藤商事(株),8065,東証1部,卸売業,2010年11月2日,412円買い,2010年12月29日,515円売り,103円,25%(1.25倍)
日本パーカライジング(株),4095,東証1部,化学,2010年8月24日,969円買い,2010年12月16日,1211円売り,242円,24.97%(1.25倍)
東芝プラントシステム(株),1983,東証1部,建設業,2010年8月23日,949円買い,2010年12月16日,1186円売り,237円,24.97%(1.25倍)
(株)三井住友フィナンシャルグループ,8316,東証1部,銀行業,2010年10月18日,2360円買い,2010年12月29日,2949円売り,589円,24.96%(1.25倍)
三井ホーム(株),1868,東証1部,建設業,2010年10月21日,354円買い,2010年12月14日,442円売り,88円,24.86%(1.25倍)
日本通運(株),9062,東証1部,陸運業,2010年8月31日,294円買い,2010年12月29日,367円売り,73円,24.83%(1.25倍)
(株)堀場製作所,6856,東証1部,電気機器,2010年8月25日,1917円買い,2010年12月20日,2392円売り,475円,24.78%(1.25倍)
(株)クボタ,6326,東証1部,機械,2010年7月20日,655円買い,2010年12月14日,817円売り,162円,24.73%(1.25倍)
(株)クレハ,4023,東証1部,化学,2010年9月2日,413円買い,2010年12月14日,515円売り,102円,24.7%(1.25倍)
日本電産コパル電子(株),6883,東証1部,電気機器,2010年10月20日,560円買い,2010年12月17日,698円売り,138円,24.64%(1.25倍)
群栄化学工業(株),4229,東証1部,化学,2010年2月15日,195円買い,2010年12月16日,243円売り,48円,24.62%(1.25倍)
(株)新川,6274,東証1部,機械,2010年11月1日,760円買い,2010年11月25日,947円売り,187円,24.61%(1.25倍)
サイバネットシステム(株),4312,東証1部,情報・通信業,2010年11月4日,191円買い,2010年12月20日,238円売り,47円,24.61%(1.25倍)
ダイニック(株),3551,東証1部,繊維製品,2010年10月29日,126円買い,2010年12月6日,157円売り,31円,24.6%(1.25倍)
三菱商事(株),8058,東証1部,卸売業,2010年8月31日,1800円買い,2010年12月15日,2242円売り,442円,24.56%(1.25倍)
(株)デサント,8114,東証1部,繊維製品,2010年10月27日,383円買い,2010年12月17日,477円売り,94円,24.54%(1.25倍)
(株)ダイセキ,9793,東証1部,サービス業,2010年11月4日,1398円買い,2010年12月14日,1741円売り,343円,24.54%(1.25倍)
東海運(株),9380,東証1部,倉庫運輸関連,2010年10月27日,159円買い,2010年12月30日,198円売り,39円,24.53%(1.25倍)
(株)東邦銀行,8346,東証1部,銀行業,2010年10月28日,212円買い,2010年12月17日,264円売り,52円,24.53%(1.25倍)
(株)タダノ,6395,東証1部,機械,2010年11月2日,359円買い,2010年12月14日,447円売り,88円,24.51%(1.25倍)
オルガノ(株),6368,東証1部,機械,2010年9月2日,515円買い,2010年12月17日,641円売り,126円,24.47%(1.24倍)
(株)福島銀行,8562,東証1部,銀行業,2010年11月2日,41円買い,2010年12月16日,51円売り,10円,24.39%(1.24倍)
日本コンクリート工業(株),5269,東証1部,ガラス土石製品,2010年9月1日,119円買い,2010年12月30日,148円売り,29円,24.37%(1.24倍)
大和小田急建設(株),1834,東証1部,建設業,2010年11月1日,185円買い,2010年12月10日,230円売り,45円,24.32%(1.24倍)
月島機械(株),6332,東証1部,機械,2010年11月2日,506円買い,2010年12月16日,629円売り,123円,24.31%(1.24倍)
コカ・コーラウエスト(株),2579,東証1部,食料品,2010年10月29日,1231円買い,2010年12月17日,1530円売り,299円,24.29%(1.24倍)
(株)カナデン,8081,東証1部,卸売業,2010年5月31日,424円買い,2010年12月15日,527円売り,103円,24.29%(1.24倍)
(株)スカパーＪＳＡＴホールディングス,9412,東証1部,情報・通信業,2010年10月12日,256.3円買い,2010年12月29日,318.5円売り,62.2円,24.27%(1.24倍)
住友不動産販売(株),8870,東証1部,不動産業,2010年8月4日,1690円買い,2010年12月30日,2100円売り,410円,24.26%(1.24倍)
(株)高知銀行,8416,東証1部,銀行業,2010年11月1日,66円買い,2010年12月28日,82円売り,16円,24.24%(1.24倍)
ＴＢＳホールディングス,9401,東証1部,情報・通信業,2010年11月1日,962円買い,2010年12月15日,1195円売り,233円,24.22%(1.24倍)
(株)イチケン,1847,東証1部,建設業,2010年10月18日,95円買い,2010年12月30日,118円売り,23円,24.21%(1.24倍)
三井住友トラスト・ホールディングス(株),8309,東証1部,銀行業,2010年10月4日,277円買い,2010年12月22日,344円売り,67円,24.19%(1.24倍)
コープケミカル(株),4003,東証1部,化学,2010年11月2日,91円買い,2010年12月3日,113円売り,22円,24.18%(1.24倍)
(株)アルペン,3028,東証1部,小売業,2010年10月15日,1204円買い,2010年12月15日,1495円売り,291円,24.17%(1.24倍)
タイガースポリマー(株),4231,東証1部,化学,2010年8月12日,302円買い,2010年12月14日,375円売り,73円,24.17%(1.24倍)
(株)ＳＡＮＫＹＯ,6417,東証1部,機械,2010年6月9日,3810円買い,2010年12月8日,4730円売り,920円,24.15%(1.24倍)
イワキ(株),8095,東証1部,卸売業,2010年11月1日,170円買い,2010年12月22日,211円売り,41円,24.12%(1.24倍)
ＪＴ,2914,東証1部,食料品,2010年10月13日,1239円買い,2010年12月22日,1537.5円売り,298.5円,24.09%(1.24倍)
三井住友建設(株),1821,東証1部,建設業,2010年11月2日,54円買い,2010年12月17日,67円売り,13円,24.07%(1.24倍)
日立建機(株),6305,東証1部,機械,2010年7月5日,1612円買い,2010年12月8日,2000円売り,388円,24.07%(1.24倍)
扶桑薬品工業(株),4538,東証1部,医薬品,2010年10月28日,208円買い,2010年12月17日,258円売り,50円,24.04%(1.24倍)
加賀電子(株),8154,東証1部,卸売業,2010年6月9日,853円買い,2010年12月15日,1058円売り,205円,24.03%(1.24倍)
ＥＩＺＯ(株),6737,東証1部,電気機器,2010年11月4日,1542円買い,2010年12月29日,1911円売り,369円,23.93%(1.24倍)
(株)不動テトラ,1813,東証1部,建設業,2010年11月2日,46円買い,2010年12月8日,57円売り,11円,23.91%(1.24倍)
東洋シヤッター(株),5936,東証1部,金属製品,2010年11月2日,231円買い,2010年11月11日,286円売り,55円,23.81%(1.24倍)
(株)ユー・エス・エス,4732,東証1部,サービス業,2010年1月27日,542円買い,2010年6月25日,671円売り,129円,23.8%(1.24倍)
ダイキン工業(株),6367,東証1部,機械,2010年7月1日,2678円買い,2010年7月28日,3315円売り,637円,23.79%(1.24倍)
明治ホールディングス(株),2269,東証1部,食料品,2010年5月26日,3260円買い,2010年9月29日,4035円売り,775円,23.77%(1.24倍)
コネクシオ(株),9422,東証1部,情報・通信業,2010年10月27日,383円買い,2010年12月29日,474円売り,91円,23.76%(1.24倍)
(株)ワコールホールディングス,3591,東証1部,繊維製品,2010年2月1日,998円買い,2010年4月26日,1235円売り,237円,23.75%(1.24倍)
有機合成薬品工業(株),4531,東証1部,医薬品,2010年10月27日,198円買い,2010年12月22日,245円売り,47円,23.74%(1.24倍)
ＯＫＩ,6703,東証1部,電気機器,2010年10月15日,59円買い,2010年12月17日,73円売り,14円,23.73%(1.24倍)
(株)日新,9066,東証1部,倉庫運輸関連,2010年11月2日,173円買い,2010年12月17日,214円売り,41円,23.7%(1.24倍)
菱電商事(株),8084,東証1部,卸売業,2010年11月2日,422円買い,2010年12月30日,522円売り,100円,23.7%(1.24倍)
日本化薬(株),4272,東証1部,化学,2010年6月9日,705円買い,2010年12月17日,872円売り,167円,23.69%(1.24倍)
ＮＥＣネッツエスアイ(株),1973,東証1部,情報・通信業,2010年11月8日,879円買い,2010年12月15日,1087円売り,208円,23.66%(1.24倍)
フジテック(株),6406,東証1部,機械,2010年11月1日,344円買い,2010年12月15日,425円売り,81円,23.55%(1.24倍)
楽天(株),4755,東証1部,サービス業,2010年9月8日,565円買い,2010年12月17日,698円売り,133円,23.54%(1.24倍)
ミズノ(株),8022,東証1部,その他製品,2010年11月2日,340円買い,2010年12月29日,420円売り,80円,23.53%(1.24倍)
加藤産業(株),9869,東証1部,卸売業,2010年10月12日,1101円買い,2010年12月30日,1360円売り,259円,23.52%(1.24倍)
ホッカンホールディングス(株),5902,東証1部,金属製品,2010年10月28日,200円買い,2010年12月29日,247円売り,47円,23.5%(1.24倍)
(株)タカキュー,8166,東証1部,小売業,2010年11月4日,132円買い,2010年12月30日,163円売り,31円,23.48%(1.23倍)
(株)ダイドーリミテッド,3205,東証1部,繊維製品,2010年1月6日,626円買い,2010年3月26日,773円売り,147円,23.48%(1.23倍)
(株)オハラ,5218,東証1部,ガラス土石製品,2010年11月2日,960円買い,2010年12月15日,1185円売り,225円,23.44%(1.23倍)
わかもと製薬(株),4512,東証1部,医薬品,2010年11月1日,209円買い,2010年12月21日,258円売り,49円,23.44%(1.23倍)
(株)コーセー,4922,東証1部,化学,2010年1月29日,1825円買い,2010年4月14日,2252円売り,427円,23.4%(1.23倍)
ダイジェット工業(株),6138,東証1部,機械,2010年11月1日,94円買い,2010年12月13日,116円売り,22円,23.4%(1.23倍)
(株)中山製鋼所,5408,東証1部,鉄鋼,2010年11月2日,94円買い,2010年12月15日,116円売り,22円,23.4%(1.23倍)
(株)コア,2359,東証1部,情報・通信業,2010年10月29日,570円買い,2010年12月24日,703円売り,133円,23.33%(1.23倍)
日清オイリオグループ(株),2602,東証1部,食料品,2010年11月2日,343円買い,2010年12月24日,423円売り,80円,23.32%(1.23倍)
八洲電機(株),3153,東証1部,卸売業,2010年2月23日,296円買い,2010年3月26日,365円売り,69円,23.31%(1.23倍)
(株)マツモトキヨシホールディングス,3088,東証1部,小売業,2010年10月7日,1463円買い,2010年12月14日,1804円売り,341円,23.31%(1.23倍)
ダイダン(株),1980,東証1部,建設業,2010年11月19日,365円買い,2010年12月17日,450円売り,85円,23.29%(1.23倍)
シスメックス(株),6869,東証1部,電気機器,2010年1月6日,1192.5円買い,2010年10月4日,1470円売り,277.5円,23.27%(1.23倍)
(株)トーメンデバイス,2737,東証1部,卸売業,2010年6月9日,1530円買い,2010年12月30日,1886円売り,356円,23.27%(1.23倍)
積水化学工業(株),4204,東証1部,化学,2010年9月8日,487円買い,2010年12月9日,600円売り,113円,23.2%(1.23倍)
藤田観光(株),9722,東証1部,サービス業,2010年7月23日,328円買い,2010年12月14日,404円売り,76円,23.17%(1.23倍)
東リ(株),7971,東証1部,化学,2010年10月26日,121円買い,2010年12月15日,149円売り,28円,23.14%(1.23倍)
サトーホールディングス(株),6287,東証1部,機械,2010年11月1日,917円買い,2010年12月16日,1129円売り,212円,23.12%(1.23倍)
(株)ヤクルト本社,2267,東証1部,食料品,2010年5月25日,2150円買い,2010年9月15日,2647円売り,497円,23.12%(1.23倍)
栗田工業(株),6370,東証1部,機械,2010年10月29日,2092円買い,2010年12月14日,2575円売り,483円,23.09%(1.23倍)
中央発條(株),5992,東証1部,金属製品,2010年11月2日,260円買い,2010年12月14日,320円売り,60円,23.08%(1.23倍)
積水樹脂(株),4212,東証1部,化学,2010年1月4日,728円買い,2010年5月13日,896円売り,168円,23.08%(1.23倍)
(株)クリエイト・レストランツＨＤ,3387,東証1部,小売業,2010年10月8日,386円買い,2010年12月29日,475円売り,89円,23.06%(1.23倍)
松井建設(株),1810,東証1部,建設業,2010年10月29日,278円買い,2010年12月21日,342円売り,64円,23.02%(1.23倍)
日比谷総合設備(株),1982,東証1部,建設業,2010年10月21日,635円買い,2010年12月21日,781円売り,146円,22.99%(1.23倍)
(株)バイテック,9957,東証1部,卸売業,2010年11月2日,555円買い,2010年12月30日,682円売り,127円,22.88%(1.23倍)
大崎電気工業(株),6644,東証1部,電気機器,2010年10月28日,586円買い,2010年12月16日,720円売り,134円,22.87%(1.23倍)
ダントーホールディングス(株),5337,東証1部,ガラス土石製品,2010年11月2日,70円買い,2010年12月17日,86円売り,16円,22.86%(1.23倍)
ミタチ産業(株),3321,東証1部,卸売業,2010年9月1日,398円買い,2010年11月24日,489円売り,91円,22.86%(1.23倍)
(株)ダイエー,8263,東証1部,小売業,2010年11月2日,281円買い,2010年11月17日,345円売り,64円,22.78%(1.23倍)
東映(株),9605,東証1部,情報・通信業,2010年11月2日,325円買い,2010年12月15日,399円売り,74円,22.77%(1.23倍)
クラボウ,3106,東証1部,繊維製品,2010年11月2日,123円買い,2010年12月17日,151円売り,28円,22.76%(1.23倍)
(株)カワチ薬品,2664,東証1部,小売業,2010年10月27日,1403円買い,2010年12月17日,1722円売り,319円,22.74%(1.23倍)
共立印刷(株),7838,東証1部,その他製品,2010年10月22日,110円買い,2010年12月17日,135円売り,25円,22.73%(1.23倍)
住石ホールディングス(株),1514,東証1部,鉱業,2010年9月24日,66円買い,2010年12月29日,81円売り,15円,22.73%(1.23倍)
(株)カナモト,9678,東証1部,サービス業,2010年5月26日,374円買い,2010年9月29日,459円売り,85円,22.73%(1.23倍)
アイホン(株),6718,東証1部,電気機器,2010年10月21日,1139円買い,2010年12月16日,1397円売り,258円,22.65%(1.23倍)
(株)阿波銀行,8388,東証1部,銀行業,2010年2月9日,477円買い,2010年10月7日,585円売り,108円,22.64%(1.23倍)
(株)高速,7504,東証1部,卸売業,2010年2月5日,611円買い,2010年12月30日,749円売り,138円,22.59%(1.23倍)
松田産業(株),7456,東証1部,卸売業,2010年8月31日,1204円買い,2010年9月28日,1476円売り,272円,22.59%(1.23倍)
(株)ビックカメラ,3048,東証1部,小売業,2010年3月4日,301.5円買い,2010年8月11日,369.5円売り,68円,22.55%(1.23倍)
コムシスホールディングス(株),1721,東証1部,建設業,2010年8月25日,714円買い,2010年12月29日,875円売り,161円,22.55%(1.23倍)
