発表日	ﾀｰｹﾞｯﾄ会社名	買収側の社名	売却側の社名	発表時ﾃﾞｨｰﾙ総額(百万)	取引状況	売却側企業 12ｶ月EBITDA	売却側企業 12ｶ月営業利益率	売却側企業 12ｶ月粗利益率	売却側企業 過去12ｶ月売上高	買収側企業 12ｶ月EBITDA	買収側企業 12ｶ月営業利益率	買収側企業 12ｶ月粗利益率	買収側企業 過去12ｶ月売上高	ﾀｰｹﾞｯﾄ企業 12ｶ月EBITDA	ﾀｰｹﾞｯﾄ企業 12ｶ月営業利益率	ﾀｰｹﾞｯﾄ企業 12ｶ月粗利益率	ﾀｰｹﾞｯﾄ企業 過去12ｶ月売上高	売却側のﾃｨｯｶｰ	売却側企業 従業員総数	売却側企業 産業ｸﾞﾙｰﾌﾟ	買収側のﾃｨｯｶｰ	買収側企業 従業員総数	買収側企業 産業ｸﾞﾙｰﾌﾟ	ﾀｰｹﾞｯﾄ会社のﾃｨｯｶｰ	ﾀｰｹﾞｯﾄ企業 従業員総数	ﾀｰｹﾞｯﾄ企業 産業ｸﾞﾙｰﾌﾟ	売却側企業 付加価値	買収側企業 付加価値	ﾀｰｹﾞｯﾄ企業 付加価値	売却側企業 ﾌﾞﾙｰﾑﾊﾞｰｸﾞｺﾝｾﾝｻｽ(BEst)来年度予想 1株当利益(EPS)	売却側企業 ﾌﾞﾙｰﾑﾊﾞｰｸﾞｺﾝｾﾝｻｽ(BEst)本年度予想 1株当利益(EPS)	買収側企業 ﾌﾞﾙｰﾑﾊﾞｰｸﾞｺﾝｾﾝｻｽ(BEst)来年度予想 1株当利益(EPS)	買収側企業 ﾌﾞﾙｰﾑﾊﾞｰｸﾞｺﾝｾﾝｻｽ(BEst)本年度予想 1株当利益(EPS)	ﾀｰｹﾞｯﾄ企業 ﾌﾞﾙｰﾑﾊﾞｰｸﾞｺﾝｾﾝｻｽ(BEst)来年度予想 1株当利益(EPS)	ﾀｰｹﾞｯﾄ企業 ﾌﾞﾙｰﾑﾊﾞｰｸﾞｺﾝｾﾝｻｽ(BEst)本年度予想 1株当利益(EPS)		売却側企業 EBITDA
10/04/2017	eBags Inc	新秀麗国際[ｻﾑｿﾅｲﾄ･ｲﾝﾀｰﾅｼｮﾅﾙ]	"Amerindo Investment Advisors Inc/CA,Saints Capital LLC,Industry Ventures LLC,Willowridge Partners Inc,TCMI Inc (ﾌｧﾝﾄﾞ: Technology Crossover Ventures III LP),三菱UFJキャピタル"	105	Completed					-72.8	-18.9008	46.6554	1533.8							"Diversified Finan Serv, Private Equity"	1910 HK	8800	Apparel	1023070Z US		Internet						0.119	-0.025				
12/06/2006	大宮センタービル	ｾﾞﾈﾗﾙ･ｴﾚｸﾄﾘｯｸ(GE)	ＳＢＳホールディングス	104.27	Completed	254.932	5.65733	11.6807	3102.32	3807	-1.55195	19.8249	76742					2384 JP	9742	Transportation	GE US	174000	Miscellaneous Manufactur			Real Estate				300.318	279.17	4.138	2.055				171.482
04/05/2021	JT Capital Co Ltd	複数買収者	Ｊトラスト	103.69	Completed	209.143	11.059		350.425					17.3537	-1.35323		45.5311	8508 JP	2946	Diversified Finan Serv			"Diversified Finan Serv, Private Equity"	1130251D KS	123	Diversified Finan Serv											121.024
08/27/2007	Osaka Ekimae No4	ｱｽﾄﾛ･ｼﾞｬﾊﾟﾝ･ﾌﾟﾛﾊﾟﾃｨ･ｸﾞﾙｰﾌﾟ		103.35	Completed						84.1202		15.3326							N.A.	AJA AU		Real Estate			Real Estate						0.64	0.64				
09/15/2021	イビス東京新宿	Unnamed Buyer	ジャパン・ホテル・リート投資法人	103.3	Pending	34.9648	-10.3503		91.4205									8985 JP		REITS			Investment Companies			Real Estate											44.7873
02/20/2008	Office Ppty/Yokohama	ﾃﾞｶﾊﾞﾝｸ･ﾄﾞｲﾁｪ･ｼﾞﾛﾂｪﾝﾄﾗｰﾚ	ドイツ銀行	102.84	Completed		13.2564		36055.6		15.2274		4511.72					DBK GR	83797	Banks	1030Z GR	4823	Banks			Real Estate				1.301	1.052						
07/02/2007	大宮センタービル	ｾﾞﾈﾗﾙ･ｴﾚｸﾄﾘｯｸ(GE)	ＳＢＳホールディングス	102.3	Completed	254.932	5.65733	11.6807	3102.32	3807	-1.55195	19.8249	76742					2384 JP	9742	Transportation	GE US	174000	Miscellaneous Manufactur			Real Estate				300.318	279.17	4.138	2.055				171.482
12/11/2015	Hiking Qingdao Longlife Care Service Co Ltd	Hiking Group Co Ltd	ロングライフホールディング	102	Completed	7.0756	1.00881	21.2828	118.288									4355 JP	740	Healthcare-Services	HIKINZ CH		Holding Companies-Divers	1363281D CH		Healthcare-Services											6.37465
06/18/2007	三星食品	Cadbury Ltd		101.58	Completed					1129.03	8.48536		9356.36	8.65264	9.46986	43.485	47.9472			N.A.	CBRY LN	44798	Food	2227 JP		Food						0.486	0.423				
02/28/2007	iTouch Holdings Ltd	iTouch Ventures Ltd	フォーサイド	101.36	Completed	1.62136	2.91465	39.4932	43.1695									2330 JP	85	Internet	914750Z LN		Holding Companies-Divers	914758Z LN		Holding Companies-Divers											-0.397198
04/27/2007	ﾄﾗｽﾃｯｸｽﾎｰﾙﾃﾞｨﾝｸﾞｽ	CLSA Capital Partners Ltd		101.35	Completed									5.1847	2.09469	24.4611	182.703			N.A.	CLSACZ HK		"Banks, Private Equity"	9374 JP	366	Transportation											
09/23/2016	Solar PV assets/Japan	Taiyo Capital SA	IBC Solar AG	101.09	Pending		2.15111	17.1746	371.8									7559372Z GR		Miscellaneous Manufactur	1476982D SM		Investment Companies			Energy-Alternate Sources											
08/25/2000	日本ドライケミカル	ｼﾞｮﾝｿﾝｺﾝﾄﾛｰﾙｽﾞｲﾝﾀｰﾅｼｮﾅﾙ		101.04	Completed					3239	9.90529	33.7624	23230	40.9748	8.02801	23.9666	407.189			N.A.	JCI US	97000	Miscellaneous Manufactur	1909 JP	1038	Commercial Services						3.293	2.656				
09/24/2012	SFM Holdings Co Ltd	Harng Central Department Store Ltd	ファミリーマート	100.94	Completed	1865.59	-0.446506	89.3179	4513.81									8028 JP	13070	Retail	0610932D TB		Retail	0610933D TB		Commercial Services											1751.82
07/16/2021	Hi Life residential complex/Aarhus	Catella Real Estate AG	Europa Capital LLP	100.35	Completed													4113110Z LN		Diversified Finan Serv	0296406D GR	40	Private Equity			REITS											
04/25/2002	32-Story Tower	Beacon Capital Partners Inc	熊谷組	100.16	Completed	269.124	6.06875	10.6717	4122.26									1861 JP	4259	Engineering&Construction	24607Z US	50	Real Estate			Real Estate				449.575	421.68						283.918
11/24/2010	マセラ鉱区	エナジー･メガ･プルサダ	INPEX	100	Completed	4861.6	39.6857	49.0043	8244.37	233.336	33.9334	39.1203	342.263					1605 JP	3163	Oil&Gas	ENRG IJ	412	Oil&Gas			Oil&Gas				127.722	119.13						4022.85
