発表日	ﾀｰｹﾞｯﾄ会社名	買収側の社名	売却側の社名	発表時ﾃﾞｨｰﾙ総額(百万)	取引状況	売却側企業 12ｶ月EBITDA	売却側企業 12ｶ月営業利益率	売却側企業 12ｶ月粗利益率	売却側企業 過去12ｶ月売上高	買収側企業 12ｶ月EBITDA	買収側企業 12ｶ月営業利益率	買収側企業 12ｶ月粗利益率	買収側企業 過去12ｶ月売上高	ﾀｰｹﾞｯﾄ企業 12ｶ月EBITDA	ﾀｰｹﾞｯﾄ企業 12ｶ月営業利益率	ﾀｰｹﾞｯﾄ企業 12ｶ月粗利益率	ﾀｰｹﾞｯﾄ企業 過去12ｶ月売上高	売却側のﾃｨｯｶｰ	売却側企業 従業員総数	売却側企業 産業ｸﾞﾙｰﾌﾟ	買収側のﾃｨｯｶｰ	買収側企業 従業員総数	買収側企業 産業ｸﾞﾙｰﾌﾟ	ﾀｰｹﾞｯﾄ会社のﾃｨｯｶｰ	ﾀｰｹﾞｯﾄ企業 従業員総数	ﾀｰｹﾞｯﾄ企業 産業ｸﾞﾙｰﾌﾟ	売却側企業 付加価値	買収側企業 付加価値	ﾀｰｹﾞｯﾄ企業 付加価値	売却側企業 ﾌﾞﾙｰﾑﾊﾞｰｸﾞｺﾝｾﾝｻｽ(BEst)来年度予想 1株当利益(EPS)	売却側企業 ﾌﾞﾙｰﾑﾊﾞｰｸﾞｺﾝｾﾝｻｽ(BEst)本年度予想 1株当利益(EPS)	買収側企業 ﾌﾞﾙｰﾑﾊﾞｰｸﾞｺﾝｾﾝｻｽ(BEst)来年度予想 1株当利益(EPS)	買収側企業 ﾌﾞﾙｰﾑﾊﾞｰｸﾞｺﾝｾﾝｻｽ(BEst)本年度予想 1株当利益(EPS)	ﾀｰｹﾞｯﾄ企業 ﾌﾞﾙｰﾑﾊﾞｰｸﾞｺﾝｾﾝｻｽ(BEst)来年度予想 1株当利益(EPS)	ﾀｰｹﾞｯﾄ企業 ﾌﾞﾙｰﾑﾊﾞｰｸﾞｺﾝｾﾝｻｽ(BEst)本年度予想 1株当利益(EPS)		売却側企業 EBITDA
02/19/2010	Elga DF SpA	Elga Europe Srl	東京応化工業	N/A	Completed	232.859	14.7767	35.8759	1175.85		-6.88014		16.7937		-28.4983		8.45029	4186 JP	1750	Chemicals	3539838Z IM		Chemicals	3539830Z IM		Chemicals				390.407	340.975						209.524
02/22/2010	A-One Co Ltd	3M		N/A	Completed					9634	22.2347	48.3647	34734							N.A.	MMM US	94987	Miscellaneous Manufactur	AONEEZ JP		Office/Business Equip						10.613	9.917				
02/24/2010	Nna Europe Ltd	Economic Media Bulletin Ltd	フィスコ	N/A	Completed	1.8987	14.8009	65.8648	11.2888									3807 JP	45	Commercial Services	3542934Z LN		Commercial Services	1856010Z LN		Commercial Services											0.790048
02/26/2010	ﾌﾟﾛｽﾍﾟｸﾄ･ﾘｰﾄ･ｱﾄﾞﾊﾞｲｻﾞｰｽﾞ	AppleRingo Holdings BV	プロスペクト	N/A	Completed													PRSPCZ JP		Investment Companies	3545465Z NA		Investment Companies	PRRADZ JP		Investment Companies											
01/25/2010	韓国フランスベッド	ｿﾙｺ･ﾊﾞｲｵﾒﾃﾞｨｶﾙ	ﾌﾗﾝｽﾍﾞｯﾄﾞﾎｰﾙﾃﾞｨﾝｸﾞｽ	N/A	Completed	83.4337	7.05075	51.9916	507.675	1.29352	1.44637	42.8098	21.4306					7840 JP	1631	Home Furnishings	043100 KS		Healthcare-Products	FRBKRZ KS		Home Furnishings											77.3421
03/29/2010	Ixinal Monzen-Nakacho/The	ﾃﾏｾｸ･ﾎｰﾙﾃﾞｨﾝｸﾞｽ	伊藤忠商事	N/A	Completed	7408.88	3.35292	17.1716	102296	22140.6	18.0423	23.1663	82984.7					8001 JP	125944	Distribution/Wholesale	TMSK SP		Investment Companies			Real Estate				414.335	443.416						6213.75
03/29/2010	マグ・イゾベール株式会社	ｻﾝｺﾞﾊﾞﾝ	太平洋セメント	N/A	Completed	1119.36	8.08137	23.5535	7729.62	7046.73	8.4457	26.8314	50694.2					5233 JP	12586	Building Materials	SGO FP	167552	Building Materials	MAGCOZ JP		Building Materials				360.767	337.611	5.187	4.944				1097.51
03/03/2010	European headquarters/Hamburg	ｳｪｽﾃﾝﾉｯﾄ･ｱﾝﾄﾞ･ﾊﾞｰｴﾝﾊﾞｰｷﾞｼｭ	カシオ計算機	N/A	Completed	315.081	9.06859	43.4666	2318.15		11.9106		9149.18					6952 JP	10404	Electrical Compo&Equip	WUW GR	6366	Diversified Finan Serv			Home Builders				113.627	88.71	2.683	3.263				249.487
03/27/2010	館林工場/オギハラ	比亜迪 [BYD]	Thai Summit Autoparts Industry Co Ltd	N/A	Completed						5.13517	16.0929	28249					3094316Z TB		Auto Parts&Equipment	1211 HK	224280	Electrical Compo&Equip			Real Estate						2.523	1.634				
02/23/2010	本間ゴルフ	Marlion Holdings Ltd	"シティグループ,ﾏｲﾙｽﾄｰﾝﾀｰﾝｱﾗｳﾝﾄﾞﾏﾈｼﾞﾒﾝﾄ"	N/A	Completed									9.80552	2.35089	55.7429	138.637			"Banks, Diversified Finan Serv"	3575831Z VI		Holding Companies-Divers	7884 JP	745	Leisure Time											
03/31/2010	Slovakian Liquid-Crystal-Display TV Factory	鴻海精密工業 [ﾎﾝﾊｲ･ﾌﾟﾚｼｼﾞｮﾝ･ｲﾝﾀﾞｽﾄﾘｰ]	ソニーグループ	N/A	Completed	13957.5	10.8483	27.3408	87230.9	7480.16	2.39835	5.90333	210546					6758 JP	109700	Home Furnishings	2317 TT		Electronics			Media				683.457	616.949	10.914	9.792				13481.1
04/01/2010	ARRK PDG TOOLING Co Ltd	複数買収者	アーク	N/A	Completed	41.3577	3.92972	23.2357	440.309									7873 JP	3883	Miscellaneous Manufactur			"Commercial Services, Investment Companies"	3587423Z KS		Miscellaneous Manufactur											41.3577
04/01/2010	SHENYANG ARRK PDG MOLD Co Ltd	複数買収者	アーク	N/A	Completed	41.3577	3.92972	23.2357	440.309									7873 JP	3883	Miscellaneous Manufactur			"Commercial Services, Investment Companies"	3591377Z KS		Miscellaneous Manufactur											41.3577
01/22/2010	Syllogic Corp	QLIKﾃｸﾉﾛｼﾞｰｽﾞ		N/A	Completed					13.329	-0.55628	85.5373	665.313							N.A.	QLIK US	2511	Software	SYLLZ JP		Software						0.673	0.508				
03/13/2010	Henkel Japan Ltd	シーカ		N/A	Completed					1946.48	16.1417		9574.81							N.A.	SIKA SW	25274	Building Materials	HENKEJZ JP		Building Materials		4601.4				8.309	7.152				
01/01/2010	ランディス･ギア	Hudson Clean Energy Partners LP		N/A	Completed															N.A.	3023091Z US		Private Equity	LGYZ SW		Electronics											
01/05/2010	Bay Communications Inc	SBAｺﾐｭﾆｹｰｼｮﾝｽﾞ	Housatonic Partners	N/A	Completed					1418.82	32.0084	76.4078	2183.11					739419Z US		Private Equity	SBAC US	1483	Telecommunications	BAYCOZ JP		Media						3.965	3.02				
11/17/2011	共和クリティケア	ルピン	アイロムグループ	N/A	Completed	17.8646	9.86155	35.6976	132.294	345.82	11.2512		2011.02					2372 JP	810	Healthcare-Services	LPC IN	23302	Pharmaceuticals	IQROMZ JP		Pharmaceuticals				116.1	99.5	43.925	33.624				14.744
11/29/2011	Otto Corp	ﾃｨｯｾﾝｸﾙｯﾌﾟ		N/A	Completed					-3188.74	-11.9616	3.02145	35534.3							N.A.	TKA GR	101592	Iron/Steel	OTTOCZ JP		Engineering&Construction						0.809	-0.121				
12/01/2011	Business Activities/SC Rail Leasing America Inc	VTG	住友商事	N/A	Completed	1609.99	-0.0440998	16.2338	45791.4	407.724	13.5465		1266.87					8053 JP	74920	Distribution/Wholesale	VT9 GR	1626	Transportation			Transportation		718.36		237.777	246.599						1056.74
12/02/2011	Synthetic prime brokerage unit	ﾊﾞﾝｸ･ｵﾌﾞ･ﾉﾊﾞｽｺｼｱ	大和証券グループ本社	N/A	Completed	1936.28	20.6842		5094.63		38.1825		31110					8601 JP	15671	Diversified Finan Serv	BNS CN	90833	Banks			Diversified Finan Serv				61.796	59.414	7.892	7.706				1860.7
12/12/2011	"Ajo Solar Project,Bagdad Solar Project"	ﾃﾞｭｰｸ･ｴﾅｼﾞｰ	シャープ	N/A	Completed	1533.6	3.63145	17.4422	23697.4	10095	18.4668	72.6707	24406					6753 JP	50478	Home Furnishings	DUK US	27535	Electric			Energy-Alternate Sources				106.916	116.607	5.465	5.209				1462.64
12/16/2011	Manufacturing facility/Rancho Bernardo	ｿｲﾃｯｸ	ソニーグループ	N/A	Completed	13957.5	10.8483	27.3408	87230.9	175.3	15.4776	31.4302	681.258					6758 JP	109700	Home Furnishings	SOI FP	1588	Semiconductors			Home Furnishings				683.457	616.949	5.005	3.715				13481.1
12/20/2011	Solar PV Projects	複数買収者	シャープ	N/A	Completed	1533.6	3.63145	17.4422	23697.4									6753 JP	50478	Home Furnishings			"Internet, Private Equity"			Energy-Alternate Sources				106.916	116.607						1462.64
12/21/2011	Private Banking Business/Japan	クレディ･スイス･グループ	HSBCﾎｰﾙﾃﾞｨﾝｸﾞｽ	N/A	Completed		26.4101		49235		4.28725		32291.2					HSBA LN	222550	Banks	CSGN SW	49240	Banks			Banks				0.62	0.615	1.361	0.764				
12/22/2011	Plast Concept SAS	Plast Concept Ingenierie	アーク	N/A	Completed	41.3577	3.92972	23.2357	440.309									7873 JP	3883	Miscellaneous Manufactur	0113075D FP		Holding Companies-Divers	0113076D FP		Commercial Services											41.3577
12/22/2011	上海龍創汽車設計	マネージメントグループ	アーク	N/A	Completed	41.3577	3.92972	23.2357	440.309						19.1206	44.0485	28.6172	7873 JP	3883	Miscellaneous Manufactur			Auto Parts&Equipment	SHLTAZ CH	930	Auto Parts&Equipment											41.3577
12/29/2011	ｼﾞｬﾊﾟﾝ･ﾎﾃﾙ･ｱﾝﾄﾞ･ﾘｿﾞｰﾄ	Rockrise Sdh Bhd	ｺﾞｰﾙﾄﾞﾏﾝ･ｻｯｸｽ･ｸﾞﾙｰﾌﾟ	N/A	Completed	33759	40.4106		61907									GS US	40800	Banks			N.A.	0114630D JP		Investment Companies				37.662	53.312						23777
11/30/2011	JTI Marketing & Sales Ou	Sanitex UAB	日本たばこ産業	N/A	Completed	6720.7	24.2455	58.4494	20728.2									2914 JP	58300	Agriculture	7318874Z LH	1040	Housewares	4803963Z ET	18	Agriculture				188.249	157.973						6040.57
12/20/2011	"MCM BV,MCM Foods Holdings Ltd"	Manfield Partners	三井物産	N/A	Completed	4817.44	2.49709	9.73044	85908.6									8031 JP	44509	Distribution/Wholesale	3672793Z LN		Investment Companies			"Food Service, Food"				372.474	412.968						3928.51
12/28/2011	ネプロアイテｨ	プライベート･インベスター	エヌジェイホールディングス	N/A	Completed	5.59743	1.84149	18.4394	112.603					-3.4136	-100.555	50.7678	5.62743	9421 JP	875	Telecommunications			Investment Companies	950030 KS	22	Internet											5.59743
12/29/2011	Hotel Management Japan KK	Symphony Luck Sdh Bhd	ｺﾞｰﾙﾄﾞﾏﾝ･ｻｯｸｽ･ｸﾞﾙｰﾌﾟ	N/A	Completed	33759	40.4106		61907									GS US	40800	Banks	0618390D MK		Investment Companies	7840977Z JP		Lodging				37.662	53.312						23777
04/06/2010	Ilford Imaging Switzerland GmbH in Liquidation	Paradigm Global Partners LLP	王子ホールディングス	N/A	Completed	1560.54	7.38225	24.6326	12960.1									3861 JP	36034	Forest Products&Paper	3580773Z LN		Commercial Services	590738Z SW	211	Forest Products&Paper				76.843	75.977						1402.23
04/08/2010	Certain Assets	AWCC Capital LLC	丸紅	N/A	Completed	2752.75	2.12668	10.332	64610									8002 JP	45470	Distribution/Wholesale	3582290Z US		Diversified Finan Serv			Diversified Finan Serv				170.62	181.567						2576.37
04/12/2010	Franking Machine Business in Sweden	ﾌﾗﾝｺﾁｯﾌﾟ･ﾎﾟｽﾀﾘｱ･ﾎｰﾙﾃﾞｨﾝｸﾞ	リコー	N/A	Completed	780.537	-1.05389	34.3449	16479.6	5.79533	-7.5965		233.407					7752 JP	81184	Office/Business Equip	FPH GR	1019	Office/Business Equip			N.A.		185.963		89.355	58.13	0.213	-0.183				558.337
04/20/2010	Aall Ships Service Pte Ltd	Wilhelmsen Ships Service AS	Aall & Co	N/A	Completed							46.7572	226.989					ALLCJZ JP		Commercial Services	0320013D NO		Transportation	ASSPTZ JP		Commercial Services											
05/17/2010	Logiclink Inc	Investor Group	インテア・ホールディングス	N/A	Completed	1.26689	-1.91725	28.4961	66.6487									3734 JP	106	Internet			Commercial Services	3611458Z US		Commercial Services											2.40322
05/25/2010	Distribution Business of Spansion Japan	ｽﾊﾟﾝｼｮﾝ	Spansion Japan株式会社	N/A	Completed					84.956	-1.85389	30.5371	1251.86					SPJPNZ JP		Semiconductors	CODE US	3893	Computers			Computers						2.45	1.68				
05/27/2010	EFTEC Asia Pte Ltd	ｴﾑｽ - ｹﾐ･ﾎｰﾙﾃﾞｨﾝｸﾞ	日本特殊塗料	N/A	Completed	52.4196	3.90754	21.3231	490.834		28.7347		2333.75					4619 JP	1287	Chemicals	EMSN SW	2593	Chemicals	3620600Z SP		Chemicals		908.732				25.72	22.956				42.5622
05/28/2010	Altech Qingdao Co Ltd	Qingdao Altech Management Co Ltd	アルプス技研	N/A	Completed	36.2871	9.68429	22.8662	347.9									4641 JP	5303	Commercial Services	QALCJZ CH		Commercial Services	ALQGDZ CH		Commercial Services				156.9	151.05						36.5718
06/01/2010	ダイフレックス	シーカ		N/A	Completed					1946.48	16.1417		9574.81							N.A.	SIKA SW	25274	Building Materials	DYFLXZ JP		Distribution/Wholesale		4601.4				8.309	7.152				
06/03/2010	Shanghai University Yoshiba Information Technology	プライベート･インベスター	インテア・ホールディングス	N/A	Completed	1.26689	-1.91725	28.4961	66.6487									3734 JP	106	Internet			Internet	SUYITZ CH		Internet											2.40322
04/28/2010	旭計器	Dalian Penqcheng Food Co Ltd	富士電機	N/A	Completed	926.064	5.73653	25.1943	8425.47									6504 JP	27876	Hand/Machine Tools	DLPNFZ CH		Commercial Services	ASKIKZ JP		Hand/Machine Tools				351.218	304.97						799.824
06/11/2010	ＭＪ	ｴﾙﾒｽ･ﾎｰﾙﾃﾞｨﾝｸﾞｽ	ﾌﾟﾗﾈｯｸｽﾎｰﾙﾃﾞｨﾝｸﾞ	N/A	Completed	-2.38324	-3.56688	15.1272	92.9386	-2.14012	-45.73	-0.664307	4.85575					6784 JP	63	Telecommunications	012400 KS	14	Electronics	MJCOMZ JP		Diversified Finan Serv											-2.95547
06/04/2010	ＭＨＳコネクレーンズ	ｺﾈｸﾚｰﾝｽﾞ	明電舎	N/A	Completed	192.255	3.90421	24.7808	2256.1	394.388	6.54672		3779.25					6508 JP	9647	Hand/Machine Tools	KCR FH	16535	Hand/Machine Tools	MHSCZ JP		Hand/Machine Tools				212.502	163.403	2.901	2.382				177.635
06/07/2010	ロックユーアジア	RockYou Inc		N/A	Completed															N.A.	3657731Z US		Telecommunications	ROCKUAZ JP		Telecommunications											
06/16/2010	Perlon Nextrusion Monofil GmbH	Serafin Unternehmensgruppe GmbH	帝人	N/A	Completed	1069.68	6.74718	30.135	8296.29						7.35591	57.5029	60.0989	3401 JP	21090	Textiles	3660173Z GR		Investment Companies	3660165Z GR		Textiles				167.869	188.383						1050.46
04/28/2010	Galleher Corp	プライベート･インベスター	伊藤忠商事	N/A	Completed	7408.88	3.35292	17.1716	102296									8001 JP	125944	Distribution/Wholesale			Distribution/Wholesale	2272071Z US		Distribution/Wholesale				414.335	443.416						6213.75
06/22/2010	Certain Assets	ﾌﾟﾙﾀﾐﾅ･ﾍﾟﾙｾﾛ	"ﾏｰﾌｨｰ･ｵｲﾙ,ﾀｲ石油公社[PTT],INPEX"	N/A	Completed					8154.17	9.89003	16.7653	41469.5							Oil&Gas	PERT IJ	34564	Oil&Gas			Oil&Gas											
06/01/2010	DIC Coatings India Ltd	ﾊﾞﾙｽﾊﾟｰ	ＤＩＣ	N/A	Completed	775.765	6.5572	22.6843	7037.51	605.393	11.9261	35.3275	4251.48					4631 JP	22851	Chemicals	1731877D US	11100	Chemicals	3619014Z IN		Chemicals				365.604	239.402	4.972	4.516				678.272
06/28/2010	Financial Business	Mercuries Data Systems Ltd	日立製作所	N/A	Completed	10824.4	6.61216	24.8067	89251	6.08254	3.59842	30.6386	113.834					6501 JP	353520	Electrical Compo&Equip	2427 TT	771	Computers			Electrical Compo&Equip				556.813	618.99						12174.1
06/01/2010	ナカアンドカンパニー	Riverside Partners LLC		N/A	Completed															N.A.	20997Z US	13218	Investment Companies	NAKACZ JP		Miscellaneous Manufactur											
05/21/2010	Toyota joint-venture factory in California	ﾃｽﾗ	トヨタ自動車	N/A	Completed	45716.6	10.4137	19.4197	286935	5794	7.85916	22.0439	41862					7203 JP	372434	Auto Manufacturers	TSLA US	70757	Auto Manufacturers			Auto Manufacturers				221.283	199.271	7.258	5.295				36242.4
01/16/2012	JHB Express Ltd	Weiss-Rohlig USA LLC		N/A	Completed															N.A.	3942028Z US		Transportation	ABJOEZ JP		Transportation											
01/24/2012	インベンチュア	ｼﾉﾌﾟｼｽ	図研	N/A	Completed	40.0826	11.19	69.213	280.885	1100.57	18.1652	79.1132	4077.21					6947 JP	1445	Computers	SNPS US	15036	Computers	0154652D JP		Computers				138.93	116.775	7.599	6.832				36.2262
01/05/2012	Prenate Brand Product Line	Acella Pharmaceuticals LLC	塩野義製薬	N/A	Completed	1178.85	37.5298	81.8938	2768.34									4507 JP	5485	Pharmaceuticals	0116771D US		Pharmaceuticals			Pharmaceuticals				352.118	349.609						1247.22
02/08/2012	パワーシステム	Ioxus Inc	"三井物産,オムロン,岡村研究所"	N/A	Completed															"Distribution/Wholesale, Commercial Services, Electronics"	4106522Z US		Electrical Compo&Equip	0038775D JP		Electronics											
02/28/2012	Toshiba Storage Device Thailand Co Ltd	ｳｴｽﾀﾝﾃﾞｼﾞﾀﾙ	東芝	N/A	Completed	2037.39	4.13412	26.3875	29890.9	2482	7.20955	26.7167	16922					6502 JP	118131	Electronics	WDC US	65600	Computers	0203969D TB		Electronics				358.776	317.913	11.16	10.26				2213.22
03/01/2012	Caterpillar Tohoku Ltd	ｷｬﾀﾋﾟﾗｰ		N/A	Completed					8351	13.0044	30.0488	45892							N.A.	CAT US	97300	Machinery-Constr&Mining	CATERZ JP		Machinery-Constr&Mining						12.442	10.19				
01/10/2012	中小企業信用機構	Wellsprings Investments Cooperatieve UA		N/A	Completed									-13.6212			-4.56356			N.A.	0204794D NA		Investment Companies	8489 JP	39	Diversified Finan Serv											
03/05/2012	Leading Jewels of Japan K K	ｷﾞﾀﾝｼﾞｬﾘ･ｼﾞｪﾑｽﾞ		N/A	Completed					100.198	3.60136		2471.74							N.A.	GITG IN	648	Retail	LEJKKZ JP		Retail											
03/06/2012	NKS KK Ltd	ｺﾝﾊﾟｽ･ｸﾞﾙｰﾌﾟ		N/A	Completed					586.093	-1.9561		20799.8							N.A.	CPG LN	548143	Food Service	NKSKK JP		Food Service		18557.8				0.594	0.293				
03/08/2012	Medical Collective Intelligence Co Ltd	オムニコム･グループ	伊藤忠商事	N/A	Completed	7408.88	3.35292	17.1716	102296	2365.2	15.3982		13962					8001 JP	125944	Distribution/Wholesale	OMC US	64100	Advertising	5798973Z JP		Computers				414.335	443.416	6.383	6.105				6213.75
02/01/2012	Institutional Trust Business	USﾊﾞﾝｺｰﾌﾟ	三菱ＵＦＪﾌｨﾅﾝｼｬﾙ･ｸﾞﾙｰﾌﾟ	N/A	Completed		25.3749		51513.7		40.6053		24037					8306 JP	138161	Banks	USB US	70000	Banks			Banks				77.317	75.312	4.472	4.992				
01/19/2012	Crux Liquids Project	ﾛｲﾔﾙ･ﾀﾞｯﾁ･ｼｪﾙ	"大阪ガス,SGHｴﾅｼﾞｰ"	N/A	Completed					37319	2.90808	24.5605	204190							"Oil&Gas, Gas"	RDSA LN	87000	Oil&Gas			Gas						2.984	2.506				
02/03/2012	Stone Age Game	CJ E&M	デジパーク	N/A	Completed					398.647	4.09434	25.4469	1650.97					0213507D JP		Internet	130960 KS		Media			Internet						4392.17	3529.84				
03/30/2012	Data Center Businesses	Digital Fortress Inc	"Digital Forest Inc,Fortress Colocation Services"	N/A	Completed															Software	0228031D US		Software			Software											
03/29/2012	Embraer 190 AR Aircraft	マッコーリー･グループ	Jetscape Aviation Group Inc	N/A	Completed						28.9887		10973.6					150253Z US		Trucking&Leasing	MQG AU	14519	Diversified Finan Serv			Trucking&Leasing						9.337	9.164				
02/22/2012	Nidec Sankyo Fuzhou Corp	OPTIS	日本電産サンキョー	N/A	Completed	125.319	7.60931	18.9329	1038.31									7757 JP	13853	Home Furnishings	0255114D KS		Hand/Machine Tools	0255116D CH		Home Furnishings											125.319
03/30/2012	Interflex Group Inc/The	Nicolet Capital Partners LLC	三菱商事	N/A	Completed	5773.41	0.626944	11.7547	131597									8058 JP	82997	Distribution/Wholesale	0369448D US		Private Equity	2733681Z US	205	Commercial Services				418.694	430.099						5246.18
02/29/2012	Biotest KK	ﾒﾙｸ		N/A	Completed					8869	11.3148	67.481	48547							N.A.	MRK US	74000	Pharmaceuticals	0521389D JP		Healthcare-Products						6.462	5.55				
01/30/2012	Reifen Gundlach GmbH	Pon Holdings BV	伊藤忠商事	N/A	Completed	7408.88	3.35292	17.1716	102296						3.36598	18.3028	355.049	8001 JP	125944	Distribution/Wholesale	1442Z NA	12052	Holding Companies-Divers	7022301Z GR		Distribution/Wholesale				414.335	443.416						6213.75
01/19/2012	Sushi Ran BV	Tsujimaru Beheer BV	三井物産	N/A	Completed	4817.44	2.49709	9.73044	85908.6									8031 JP	44509	Distribution/Wholesale	0609044D NA		Food	4040605Z NA		Food				372.474	412.968						3928.51
03/30/2012	Aveva Drug Delivery Systems Inc	Apotex Inc	日東電工	N/A	Completed	1448.39	13.2322	32.5291	7530.21								0.9448	6988 JP	25424	Chemicals	50120Z CN	8000	Pharmaceuticals	SANO US	230	Retail				559.479	547.725						1339.04
03/02/2012	ITC クレジット	高陽科技(中国)[ﾊｲ･ｻﾝ･ﾃｸﾉﾛｼﾞｰ(ﾁｬｲﾅ)]		N/A	Completed					151.982	20.843	30.2647	559.199							N.A.	818 HK	2532	Electronics	0629942D JP		Telecommunications											
07/05/2011	ファイルフィックス	電通ｲｰｼﾞｽ･ﾈｯﾄﾜｰｸ		N/A	Completed					257.39	-5.14457	93.2623	5281.09							N.A.	AGS LN	45329	Advertising	FILEFZ JP		Advertising											
07/14/2011	ON Wind Energy LLC	AWCC Capital LLC	丸紅	N/A	Completed	2752.75	2.12668	10.332	64610									8002 JP	45470	Distribution/Wholesale	3582290Z US		Real Estate	9505654Z US		Energy-Alternate Sources				170.62	181.567						2576.37
07/15/2011	ｺﾝｿﾅﾝﾄ･ｲﾝﾍﾞｽﾄﾒﾝﾄ･ﾏﾈｼﾞﾒﾝﾄ	ﾌｫｰﾄﾚｽ･ｲﾝﾍﾞｽﾄﾒﾝﾄ･ｸﾞﾙｰﾌﾟ	"矢作建設工業,極東証券,LCP Group LP/The,日神グループホールディングス,サンシティ,穴吹興産"	N/A	Completed					475.999	38.3251		1171.92							"Diversified Finan Serv, Investment Companies, Real Estate, Engineering&Construction"	FIG US	969	Private Equity	CSNIMZ JP		Diversified Finan Serv						0.83	0.94				
07/21/2011	Japan Turbine Technologies	ﾚｲｾｵﾝ･ﾃｸﾉﾛｼﾞｰｽﾞ	日本航空/旧	N/A	Completed	-620.032	-10.777	6.08999	17275	7443	4.60857	15.7873	62297					9205 JP	46287	Airlines	RTX US	181000	Aerospace/Defense	9862858Z JP		Aerospace/Defense						5.017	4.061				671.04
07/26/2011	Patent rights	ﾒﾙｸ	アステラス製薬	N/A	Completed	1752.27	8.96687	80.402	11916.3	8869	11.3148	67.481	48547					4503 JP	15455	Pharmaceuticals	MRK US	74000	Pharmaceuticals			Pharmaceuticals				129.333	107.315	6.462	5.55				1986.21
07/28/2011	"ﾊｲｱｰﾙ･ｴﾚｸﾄﾘｯｸ･ﾀｲﾗﾝﾄﾞ,ﾊｲｱｰﾙ三洋ｴﾚｸﾄﾘｯｸ,湖南電機,ハイアールアクアセールス株式会社,三洋 HA アセアン,三洋インドネシア,Sanyo Sales & Services Sdn Bhd,三洋インドネシア販売,三洋フィリピン"	ハイアール・グループ	パナソニック	N/A	Completed	6470.16	5.24915	29.8506	66680.3									6752 JP	240202	Home Furnishings	HRGCZ CH		Home Furnishings			"Home Furnishings, Building Materials, Electrical Compo&Equip"				118.303	104.521						5630.86
08/01/2011	eVent Medical Inc	プライベート･インベスター	小林製薬	N/A	Completed	282.433	17.1502	57.1123	1421.9									4967 JP	3473	Pharmaceuticals			Pharmaceuticals	9873281Z US		Pharmaceuticals				263.629	253.522						281.561
08/01/2011	Metabit Co Ltd	ＮＹＳＥユーロネクスト		N/A	Completed					944	18.206		3757							N.A.	NYX US	3079	Diversified Finan Serv	METBITZ JP		Internet						2.785	2.317				
08/05/2011	Certain Assets	Traack Technologies Inc	株式会社ビート	N/A	Completed													BETCOJZ JP		Telecommunications	TRAA US		Telecommunications			Telecommunications											
08/18/2011	Showpla Hong Kong Ltd	プライベート･インベスター	アーク	N/A	Completed	41.3577	3.92972	23.2357	440.309									7873 JP	3883	Miscellaneous Manufactur			Miscellaneous Manufactur	SHWHKZ HK	3	Miscellaneous Manufactur											41.3577
08/31/2011	Tammany Energy Ventures LLC	Tammany Oil & Gas LLC	伊藤忠商事	N/A	Completed	7408.88	3.35292	17.1716	102296									8001 JP	125944	Distribution/Wholesale	507886Z US		Oil&Gas	0058900Z US		Oil&Gas				414.335	443.416						6213.75
07/29/2011	土地及び建物	Wenaasgruppen AS	"三菱地所,ｳﾞｧﾘﾝﾍﾟｯｸｽ･ﾌｨﾅﾝﾂ･ｳﾝﾄﾞ･ﾍﾞﾀｲﾙｸﾞﾝｸｽ"	N/A	Completed															"Lodging, Real Estate"	621973Z NO		Lodging			Lodging											
09/01/2011	SC Finans Sverige AB	DNB	住友商事	N/A	Completed	1609.99	-0.0440998	16.2338	45791.4								39.9971	8053 JP	74920	Distribution/Wholesale	DNBH NO		Banks	7284858Z SS		Diversified Finan Serv				237.777	246.599	14.63	14.45				1056.74
09/30/2011	東芝ｴﾚｸﾄﾛﾆｸｽ･ﾏﾚｰｼｱ	ｱﾑｺｰ･ﾃｸﾉﾛｼﾞｰ	東芝	N/A	Completed	2037.39	4.13412	26.3875	29890.9	1188.94	10.7409	19.3842	5457.75					6502 JP	118131	Electronics	AMKR US	29050	Semiconductors	6933509Z MK	1700	Semiconductors				358.776	317.913	2.6	2.4				2213.22
07/08/2011	土地及び建物	ミレニアム&コプソーン･ホテル	コスモスイニシア	N/A	Completed	20.889	1.85119	14.4045	1004.1	207.054	8.66935	55.6452	1283.74					8844 JP	919	Real Estate	MLC LN	5986	Lodging			Lodging											24.6676
08/10/2011	GUO DIAN 28	Unnamed Buyer	玉井商船	N/A	Completed	11.1451	6.52822	15.4471	45.8787									9127 JP	57	Transportation			N.A.			Transportation											8.21911
08/05/2011	Buongiorno Marketing Services Netherland BV	ボンジョルノ	三井物産	N/A	Completed	4817.44	2.49709	9.73044	85908.6	18.9924	1.35114		318.332					8031 JP	44509	Distribution/Wholesale	BNG IM		Internet	1024058Z NA		Internet				372.474	412.968						3928.51
04/07/2011	Cms Japan KK	Alpari UK Ltd		N/A	Completed						-10.958		87.0881							N.A.	2580914Z LN		Diversified Finan Serv	CMSJAZ JP		Software											
05/03/2011	Certain Assets	ＬＳコープ	"古河電気工業,American Furukawa Inc"	N/A	Completed					669.689	4.00931	12.8658	10231.1							Electrical Compo&Equip	006260 KS		Holding Companies-Divers			Electrical Compo&Equip						8717.67	7715.89				
