発表日,ﾀｰｹﾞｯﾄ会社名,買収側の社名,発表時ﾃﾞｨｰﾙ総額(百万),買収側企業 人件費,ﾀｰｹﾞｯﾄ企業 人件費,買収側企業 12ｶ月売上原価,ﾀｰｹﾞｯﾄ企業 12ｶ月売上原価,買収側企業 原材料,ﾀｰｹﾞｯﾄ企業 原材料,買収側企業 外国人持株比率,ﾀｰｹﾞｯﾄ企業 外国人持株比率,ﾀｰｹﾞｯﾄ企業 販管費･その他営業費用,買収側企業 SIC名,ﾀｰｹﾞｯﾄ企業 SIC名
1998-07-22,Honei KK,小津産業,6.33,16.114,,198.722,,6.04158,,0.6,,,,
1998-07-27,内外証券,東海東京証券,40.3,,,,,,,4.9,,,,
1998-07-30,第一企画,ADKマーケティング・ソリューションズ,157.5,278.754,,2663.18,,,,59.33,,,,
1998-08-04,49% INT SEOUL MIRAMAR CO,AFFILIATE OF HYATT,48.35,,,,,,,,,,,
1998-08-10,ナテック,アマテイ,3.2,1.71975,,34.6848,,2.13886,,3.74,,,,BOLT/NUT/RIVET
1998-08-21,ホシ伊藤,ほくやく,52.13,,,1222.59,,,,,,,,
1998-08-24,UK ppty mgmt business,野村ホールディングス,7.38,4791.14,,,,,,33.45,,,SEC BROKER/DLR,
1998-08-27,Semiconductor-Wholesale Div.,丸文,7.01,66.3997,,1990.35,,,,12.71,,,,
1998-08-28,S&P 500種,トヨタ自動車,260.59,30952.8,,233574.0,,7126.89,,20.57,,,VEHIC/CAR BODY,
1998-08-31,10% STK IN CLARENCE COLLIERY,Centennial Coal Co Ltd,3.76,,,494.245,,,,,,,,
1998-09-01,Nordiko Ltd,島津製作所,20.28,470.911,,2292.58,,182.172,,33.44,,,,
1998-09-04,ブラザー販売,ブラザー工業,62.98,1452.32,,3536.01,,331.272,,36.04,,,,
1998-09-16,森永開発,森永製菓,5.43,99.7363,,931.754,,63.1679,,25.15,,,,
1998-09-16,オートハローズ,オートバックスセブン,6.31,237.762,,1389.59,47.3288,,,13.12,0.02,23.6764,,
1998-09-17,Healy & Baker Inc,三菱地所,112.15,242.667,,8633.65,,,,42.79,,,,
1998-09-18,22.5% UNITED ORIX LEASING BHD,オリックス,43.31,2481.15,,,,,,44.05,,,MISC BUS CRED,
1998-09-23,2 US Hotel Business,Lowe Enterprises Investment Management Inc,256.32,,,,,,,,,,,
1998-09-28,AUSTRALIAN FINANCE BUSN,ｾﾞﾈﾗﾙ･ｴﾚｸﾄﾘｯｸ(GE),106.0,,,55854.0,,7937.0,,,,,ELECT EQUIP,
1998-09-28,CREDIT CARD OPS,ジャックス,64.91,274.89,,,,,,17.88,,,,
1998-09-29,ユー・エム・シー・ジャパン,聯華電子[ﾕﾅｲﾃｯﾄﾞ･ﾏｲｸﾛｴﾚｸﾄﾛﾆｸｽ],11.28,1127.91,4.0554,4961.64,115.025,348.746,9.71795,,,8.86476,SEMICONDUCTORS,
1998-09-30,POWER-PLANT SIMULATOR DIVISIO,横河電機,6.17,481.938,,2025.57,,142.808,,34.95,,,,
1998-09-30,ナショナル証券,ＳＭＢＣフレンド証券,62.05,,,,,,,,0.76,99.9033,,
1998-10-06,EMC Automation Inc,ＴＤＫ,10.0,2.66014,,11069.6,,1096.44,,37.35,,,ELEC COMP NEC,
1998-10-13,Boullioun Aviation Services,ドイツ銀行,120.13,11955.1,,,,,,,,,ST COML BANK,
1998-10-19,東洋アルミニウム,日本軽金属,99.29,195.76,,4027.03,,229.88,,12.29,,,,
1998-10-22,サンクスアンドアソシエイツ,ﾕﾆｰｸﾞﾙｰﾌﾟ･ﾎｰﾙﾃﾞｨﾝｸﾞｽ,345.76,860.621,,5460.18,56.2848,,5.06178,20.94,9.24,351.846,,
1998-10-23,50% INT AUTOMOTIVE JT VENTURE,豊田通商,40.2,2222.23,,61541.4,,274.614,,20.56,,,,
1998-10-27,野崎産業,ＪＦＥ商事/旧,10.78,,,9932.78,,,,,,,,
1998-10-27,三菱石油,ＥＮＥＯＳ,3187.98,,,69394.0,,,,,,,,
1998-10-29,東京三菱パーソナル証券,三菱ＵＦＪ銀行,7.7,,,,,,,,,,COML BANK NEC,
1998-10-30,鳥居薬品,日本たばこ産業,368.41,2883.87,50.3642,8707.49,201.063,3241.02,27.7444,12.19,13.9,159.291,,
