発表日,ﾀｰｹﾞｯﾄ会社名,買収側の社名,発表時ﾃﾞｨｰﾙ総額(百万),買収側企業 人件費,ﾀｰｹﾞｯﾄ企業 人件費,買収側企業 12ｶ月売上原価,ﾀｰｹﾞｯﾄ企業 12ｶ月売上原価,買収側企業 原材料,ﾀｰｹﾞｯﾄ企業 原材料,買収側企業 外国人持株比率,ﾀｰｹﾞｯﾄ企業 外国人持株比率,ﾀｰｹﾞｯﾄ企業 販管費･その他営業費用,買収側企業 SIC名,ﾀｰｹﾞｯﾄ企業 SIC名
2008-02-29,ニューシティレジデンス三田,エム・シー沖縄,10.17,,,,,,,,,,,
2008-02-29,土地及び建物,菊仙開発,1.64,,,,,,,,,,,
2008-02-29,賃貸駐車場/札幌,アークス,1.07,528.02,,3917.42,,0.881388,,14.885,,,,
2008-02-29,テラス乃木坂,Nogizaka Pte Ltd,16.27,,,,,,,,,,,
2008-03-03,田村産業,ダイセキ,8.13,26.8627,,340.251,,2.76606,,35.88,,,,
2008-03-03,"ロプロ札幌ビル,ロプロ大阪ビル,ロプロ広島ビル,ロプロ福岡ビル,ソレイユ松戸,カーサグラン松戸,カーサグラン東向島,カーサグラン西品,カーサグラン鳥取,カーサグラン御池,ドムール御池",ジョイントアーク09特定目的会社,101.95,,,,,,,,,,,
2008-03-04,ユーディエックス特定目的会社,エヌ･ティ･ティ都市開発,159.91,91.6093,,1013.37,,1.48957,,,,,,
2008-03-05,バーテックス スタンダード　,ﾓﾄﾛｰﾗ･ｿﾘｭｰｼｮﾝｽﾞ,40.35,,,4121.0,124.924,,,,,,RADIO/TV EQUIP,ELECTRON PARTS
2008-03-05,土地及び建物,マルマエ,4.04,11.9822,,33.1769,,0.111176,,4.22,,,,
2008-03-06,中野坂上サンブライトツイン,日本ビルファンド投資法人,1.52,,,,,,,28.0,,,,
2008-03-06,セントスタッフ,キャス・キャピタル,3.0,,,,,,,,,,,
2008-03-06,ジャパンマリンユナイテッド,ｼﾞｪｲ ｴﾌ ｲｰ ﾎｰﾙﾃﾞｨﾝｸﾞｽ,339.35,4531.83,,28907.3,,3321.66,,26.01,,,,SHIP BUILD/FIX
2008-03-06,SUMCO TECHXIV,ＳＵＭＣＯ,390.85,52.9691,,2276.27,837.542,1376.43,,41.82,,,,
2008-03-06,Wheeling-Nisshin Inc,日新製鋼,71.4,299.44,,,,327.147,,,,,METAL SVC CNTR,BLAST FUR/MILL
2008-03-06,License rights for antibody KW-0761,ｱﾑｼﾞｪﾝ,100.0,,,6333.0,,486.0,,,,,BIOLOG PROD,
2008-03-07,ＪＭＳ東京本社ビル,プロパスト,253.12,4.11241,,125.44,,0.0182682,,1.32,,,,
2008-03-07,Leavitt Tube Co LLC,丸一鋼管,90.0,29.6388,,1311.63,,200.443,,23.71,,,,STEEL PIPE
2008-03-07,アートネイチャー本社ビル,東京建物不動産販売,30.01,4.49231,,226.25,,,,1.7,,,,
2008-03-07,土地及び建物,オークワ,13.14,308.46,,1766.15,,,,7.18,,,,
2008-03-10,残リース･債権,新生銀行,2.75,558.129,,,,,,28.67,,,,
2008-03-10,ゴールドウィン本社ビル,東京建物不動産販売,84.48,4.49231,,226.25,,,,1.7,,,,
2008-03-10,第２ビル,オリンピア/日本橋,10.81,,,,,,,,,,,
2008-03-10,鮪･水産物の卸売･加工･販売事業,コロワイド,2.94,500.144,,725.2,,18.5065,,3.34,,,,
2008-03-11,ストーリア赤坂,ＮＴＴ都市開発リート投資法人,38.1,,,,,,,,,,,
2008-03-11,ルネ新宿御苑タワー,ＮＴＴ都市開発リート投資法人,63.02,,,,,,,,,,,
2008-03-11,天津三達電気有限公司,天津市中環電子信息集団有限公司,2.1,,,,,,,,,,,
2008-03-11,近江八幡ケーブルネットワーク,ＺＴＶ,5.4,,,,,,,,,,CABLE/OTHR PAY,
2008-03-11,ＣＨＯＹＡ,日清紡ホールディングス,7.62,319.866,,3611.36,60.3124,213.282,,12.85,,,,
2008-03-12,芝公園ビル,トップリート投資法人,56.54,,,,,,,2.1,,,,
2008-03-12,サクセス,ｾﾞﾝﾃｯｸ･ﾃｸﾉﾛｼﾞｰ･ｼﾞｬﾊﾟﾝ,1.5,3.52234,,33.197,,0.0232008,,3.54,,,,
2008-03-12,ファーレイーストビル,トップリート投資法人,5.59,,,,,,,2.1,,,,
2008-03-13,2waytraffic NV,ソニーグループ,131.71,84.2094,3.60323,64791.7,14.8534,952.473,,59.69,,16.3959,RADIO/TV EQUIP,
2008-03-13,無線ＴＶＢＯＸ,ソフトバンクグループ,7.6,6962.65,,26905.7,,,,26.71,,,PHONE NO RADI,
2008-03-13,雪印種苗,雪印乳業,5.33,131.952,,2254.05,317.059,62.2345,,8.19,,,,
2008-03-13,2waytraffic NV,ソニーグループ,131.87,84.2094,3.60323,64791.7,14.8534,952.473,,59.69,,16.3959,RADIO/TV EQUIP,
2008-03-13,新生銀行本店ビル,ﾓﾙｶﾞﾝ･ｽﾀﾝﾚｰ,1167.16,20854.0,,,,,,,,,SEC BROKER/DLR,
2008-03-14,テイコクメディックス,日医工,32.1,,,1589.35,,293.97,,11.85,,,,
2008-03-14,足利銀行,複数買収者,2808.71,,,,,,,,,503.125,,
2008-03-14,ＴＲＮコーポレーション,ハークスレイ,120.26,38.0909,4.8817,225.214,327.516,0.488202,0.235385,2.43,0.07,16.7983,,
2008-03-14,M/V Nord Wave,スター･バルク･キャリアーズ,72.0,,,543.692,,47.294,,,,,FORGN SEA FRGT,
2008-03-14,石油製品関連事業,伊藤忠エネクス,149.6,328.188,,6805.4,,0.58765,,10.61,,,,
2008-03-14,高田薬局,ウエルシア関東,84.27,,,750.51,,,,,,,DRUG STORES,DRUG STORES
2008-03-16,海航創新[HNAｲﾉﾍﾞｰｼｮﾝ],Hong Kong Resort Property Ltd,25.63,,1.84275,,1.09666,,,,,36.6917,MISC INVSTRS,
2008-03-16,海航創新[HNAｲﾉﾍﾞｰｼｮﾝ],Hongkong Peninsula Investment Co Ltd,30.75,,1.84275,,1.09666,,,,,36.6917,MISC INVSTRS,
2008-03-17,ピクロス,リテールパートナーズ,3.92,220.863,,1671.12,,0.851411,,5.1,,,,
2008-03-18,ユーティライズ･パーキング,ダイヨシトラスト,3.45,2.58318,,51.6693,,,,,,,AUTO PARKING,
2008-03-18,アーク森ビル/12階･22階部分,森ヒルズリート投資法人,167.29,,,,,,,15.88,,,,
2008-03-18,事務所/芝浦,芝山ワン･フォー,78.53,,,,,,,,,,,
2008-03-19,アインメディカルシステムズ,アインホールディングス,7.22,106.195,13.1415,2374.15,111.516,2.43367,0.00776024,33.06,0.28,3.84424,,
2008-03-19,20 N Clark St,複数買収者,59.0,,,,,,,,,,,
2008-03-21,ＭＳエイジア,インベストサイゴン,6.03,,,,,,,,,,MISC INVSTRS,
2008-03-21,マネックスＦＸ,マネックスグループ,14.07,147.289,,,,,,22.56,,,,COMMODITY DLR
2008-03-21,大酒販,日本アジアグループ,23.32,78.7382,,671.715,,18.8952,,22.35,,,,
2008-03-21,スペーシア麻布十番Ⅰ,株式会社長谷工不動産,13.27,,,1476.95,,,,,,,,
2008-03-21,インターディメンションズ,ソルクシーズ,8.34,9.0188,,97.6028,,0.0268829,,1.11,,,,
2008-03-21,Phelps Dodge Tower,三菱地所,130.68,242.667,,8633.65,,,,42.79,,,,
2008-03-24,プレイアデ国領,ｱﾄﾞﾊﾞﾝｽ･ﾚｼﾞﾃﾞﾝｽ投資/旧,9.22,,,,,,,13.11,,,,
2008-03-24,ＮＢＦ熊本ビル,日本ビルファンド投資法人,44.63,,,,,,,28.0,,,,
2008-03-24,上野ＴＨビル,ＮＴＴ都市開発リート投資法人,43.44,,,,,,,,,,,
2008-03-24,賃貸ビル/新横浜,シティグループ,26.28,22214.0,,,,,,,,,NATL COML BANK,
2008-03-24,ｱﾙﾃｨｽ神戸ﾎﾟｰﾄｱｲﾗﾝﾄﾞ(ﾉｰｽ棟),ｱﾄﾞﾊﾞﾝｽ･ﾚｼﾞﾃﾞﾝｽ投資/旧,18.29,,,,,,,13.11,,,,
2008-03-24,五反田ＮＴビル,ＮＴＴ都市開発リート投資法人,40.67,,,,,,,,,,,
2008-03-24,ＹＵＴＯＲＩ債権回収,Planet Resources Group BV,1.44,,,,,,,,,,,
2008-03-24,東京駒形第二倉庫,ﾊﾟｼﾌｨｯｸ･ﾃﾞｨﾍﾞﾛｯﾌﾟﾒﾝﾄ ｱﾝﾄﾞ ﾏﾈｰｼﾞﾒﾝﾄ,5.07,,,,,,,,,,,
2008-03-25,Office A-26 藤和浜松町ビル,日本コマーシャル投資法人,2.41,,,,,,,,,,,
2008-03-25,土地及び建物/日野市,Unnamed Co,9.12,,,,,,,,,,,
2008-03-25,りそな･マルハビル,三菱地所,1614.99,242.667,,8633.65,,,,42.79,,,,
2008-03-25,横浜スカイビル,ＭＪ総合ファンド･セブン,120.63,,,,,,,,,,,
2008-03-25,光波,タムラ製作所,35.51,74.5688,6.01654,557.269,54.4704,59.1809,7.3895,21.79,4.05,14.5087,,
2008-03-25,内田洋行京橋ビル,住友商事,59.89,3540.76,,38918.0,,1180.41,,32.76,,,,
2008-03-25,北浜ＭＩＤビル,MCUBS MidCity投資法人,107.67,,,,,,,2.23,,,,
2008-03-25,京橋ＭＩＤビル,ＭＩＤ都市開発,70.78,,,,,,,,,,,
2008-03-26,ミスズ,シライ電子工業,7.4,11.7914,,186.714,,3.59823,,1.11,,,,
2008-03-26,キャタピラージャパン,ｷｬﾀﾋﾟﾗｰ,503.42,,,33774.0,,4021.0,,,,,CONSTR MACHINE,CONSTR MACHINE
2008-03-26,プライムアーバン川口,野村不動産ﾚｼﾞﾃﾞﾝｼｬﾙ投資法人,21.85,,,,,,,6.3,,,,
2008-03-26,キュービタス,クレディセゾン,2.57,447.733,,,,,,27.54,,,,S/T BUS CRED
2008-03-26,ＩＣハンドラ事業,テセック,2.52,4.09397,,31.0287,,2.9925,,3.01,,,,
2008-03-27,南ＯＳビル,アールワン難波,73.2,,,,,,,,,,,
2008-03-27,エフ･エフ･シー,富士通,10.4,11393.5,,23360.2,,566.685,,54.58,,,,
2008-03-27,ＭＩ,ソニーネットワークコミュニケーションズ,7.28,68.3879,,715.64,,0.810844,,18.98,,,,
2008-03-27,事務所/西新橋,アイン,4.66,,,,,,,,,,,
2008-03-27,オリケン五番町ビル,ケネディクス・オフィス投資法人,19.57,,,,,,,,,,,
2008-03-27,東急ストア,東急,702.97,886.722,,6600.01,1997.96,76.4849,,17.32,,,,GROCERY STORE
2008-03-27,アルマード,セシール,13.54,6.53772,0.375315,296.338,16.4497,1.25617,1.42342,,,21.4797,,GROCERIES
2008-03-28,"ダイア管理,ダイアリビングサービス",アドバンテッジパートナーズ,85.42,,,,,,,,,,,
2008-03-28,ケーツー,カプコン,6.26,60.1738,,524.575,,7.68466,,38.24,,,,COURIER NO AIR
2008-03-28,新浦安センタービルディング,日本ビルファンド投資法人,157.77,,,,,,,28.0,,,,
2008-03-28,事業所/目黒,さくま製菓,3.01,,,,,,,,,,BREAD/OTH PROD,
2008-03-28,Onkyo China Ltd,オンキヨーサウンド＆ビジョン株式会社,1.65,,,395.089,,,,,,,,
2008-03-28,ホームセンターサンコー,ＤＣＭホールディングス,1.53,461.236,,2775.79,,,,16.62,,,,MISC RTAIL NEC
2008-03-28,フィルムデバイス事業,日立電線,60.3,139.552,,3815.63,,113.309,,11.9,,,,
2008-03-28,三京証券,岡藤日産証券ホールディングス,5.89,62.469,,,,,,0.39,,,,
2008-03-28,登録管理ネットワーク,アグレックス,6.53,17.1825,,244.338,,0.136034,,2.7,,,,
2008-03-28,土地及び建物,住友商事,11.05,3540.76,,38918.0,,1180.41,,32.76,,,,
2008-03-28,エバタ,デイ・シイ,1.26,12.4966,8.34523,225.889,45.5121,11.4667,1.32464,2.39,0.02,10.8885,,PLAST PROFILE
2008-03-28,ＳＯＲＡ新大阪２１,野村不動産ｵﾌｨｽﾌｧﾝﾄﾞ投資法人,193.46,,,,,,,24.4,,,,
2008-03-28,ベルメゾン池上,エー・ディー・ワークス,3.09,,,,,,,,,,,
2008-03-28,事務所(本社),野村不動産ホールディングス,30.2,451.365,,3823.46,,,,30.1,,,,
2008-03-31,チャペル,クラウディアホールディングス,2.2,28.5941,,14.7025,,2.56172,,3.49,,,,
2008-03-31,伊田テクノス,報徳管財,54.67,,,,75.7851,,,,,,,
2008-03-31,ミナト印刷紙工,東京リスマチック,7.01,19.9042,,154.244,,1.84594,,0.25,,,,
2008-03-31,代官山フォーラム,東急リアル・エステート投資法人,41.42,,,,,,,16.39,,,,
2008-03-31,土地及び建物/市川,丸一鋼管,43.06,29.6388,,1311.63,,200.443,,23.71,,,,
2008-03-31,ｼﾞｬｯｸ･ｱﾝﾄﾞ･ﾍﾞﾃｨｰ・ﾄﾚｰﾃﾞｨﾝｸﾞ,ＭＡＧねっとホールディングス,3.74,1.04208,,,,,,0.17,,,,
2008-03-31,Sun Technology Square/BLOCK A,大成長城企業[ｸﾞﾚｰﾄ･ｳｫｰﾙ･ｴﾝﾀｰﾌﾟﾗｲｽﾞ],4.84,181.931,,3127.04,,161.521,,,,,,
2008-03-31,スカイ･エー,朝日放送グループホールディングス,3.4,4.25434,,528.232,,0.280264,,4.917,,,,CABLE/OTHR PAY
2008-03-31,せんげん台店舗,Ｔ－ＮＥＴ,3.45,,,,,,,,,,AMUSE PARK,
2008-03-31,新宿三丁目イーストビル,日本ﾌﾟﾗｲﾑﾘｱﾙﾃｨ投資法人,22.03,,,,,,,16.06,,,,
2008-03-31,駐車場/勝どき,大都魚類,1.28,17.6708,,884.784,,3.53498,,0.33,,,,
2008-03-31,ジェクール,伊藤忠商事,1.5,5555.56,,87706.3,,491.809,,35.42,,,METAL SVC CNTR,
2008-03-31,住金ｾﾗﾐｯｸｽ･ｱﾝﾄﾞ･ｸｵｰﾂ,フェローテックホールディングス,28.7,60.6555,,601.967,,60.3952,,30.35,,,,
2008-03-31,Askme Corp,Ａｂａｌａｎｃｅ,5.0,6.71565,,207.687,,0.0450086,,2.415,,,,
2008-04-01,クレヴァシステムズ,キーウェアソリューションズ,7.9,9.54578,,149.046,,,,1.48,,,,COMPU SYS DES
2008-04-02,Allen & Heath Ltd,ﾃﾞｨｰｱﾝﾄﾞｴﾑﾎｰﾙﾃﾞｨﾝｸﾞｽ,39.68,102.552,,625.365,,,0.882738,77.09,,,,
2008-04-02,SSMC Holdings Corp,太平洋セメント,220.0,337.187,,5518.98,,396.646,,39.05,,,,
2008-04-02,シンフォニーマックス,ジェクシード,2.41,2.52276,,3.74202,,,,56.71,,,,
2008-04-03,クロス･ロード,ジャパンケアサービスグループ,1.36,10.7611,,237.317,,0.923176,,0.16,,,,
2008-04-04,キョウデンファインテック,キョウデン,2.94,18.4606,,372.131,,27.493,,1.89,,,,
2008-04-04,宝くじ神社,タウンドリーム,5.39,,,,,,,,,,,
2008-04-07,上野フジタエステート1,プラム,21.22,,,,,,,,,,,
2008-04-08,Danka Office Imaging Co,コニカミノルタ,240.0,3043.27,,4790.19,,232.33,,18.71,,,,
2008-04-08,GST AutoLeather Inc,アドバンテッジパートナーズ,300.0,,,,,,,,,,,
2008-04-09,ディアーズ･ブレイン,千趣会,23.63,64.3818,,353.023,,2.56534,,1.41,,,,MISC PERS NEC
2008-04-09,ベッコアメ･インターネット,フルスピード,6.89,15.4016,,137.354,,,,4.59,,,,PHONE NO RADI
2008-04-09,650 Madison Avenue,複数買収者,680.0,,,,,,,,,,,
2008-04-10,クリエーティブソリューションズ,フォーバル,1.18,76.1771,,295.07,,3.85637,,0.44,,,,
2008-04-10,サンクスジャパン,ダイレックス,9.15,,18.5015,,639.108,,,,3.5,94.5112,,
2008-04-10,ﾐﾚﾆｱﾑ･ﾌｧｰﾏｼﾕｰﾃｨｶﾙｽﾞInc,武田薬品工業,7679.69,7230.56,,9526.84,33.182,1352.15,4.27,40.92,,510.106,,PHARM PREPS
2008-04-10,ユーストア,ﾕﾆｰｸﾞﾙｰﾌﾟ･ﾎｰﾙﾃﾞｨﾝｸﾞｽ,87.05,860.621,142.526,5460.18,989.65,,0.147915,20.94,1.32,308.146,,
2008-04-14,新ダイワ工業,共立,89.46,,,469.385,171.501,,,,,,,
2008-04-14,イヌイ運送,乾汽船,6.12,3.76381,,179.754,,6.09348,,7.59,,,,LOCL TRK NO ST
2008-04-15,ベリテ,Digico Holdings Ltd,2.17,,16.5268,,30.6947,,0.949281,,1.0,33.9498,JEWELRY/STONES,
2008-04-15,Bicycle race ballot system,クラウドゲート,2.31,1.29019,,4.19113,,,,0.09,,,,
2008-04-15,トレイダーズ投資顧問,日本プライベート証券,1.67,,,,,,,,,,,
2008-04-17,エイチエーシー,ユニマットライフ,10.95,,,282.973,,,,,,,,HOMEFURN STORE
2008-04-17,テンプスタッフ・ピープル,パーソルテンプスタッフ,27.5,,241.446,1885.3,240.999,,0.239155,,16.86,40.7338,,
2008-04-18,ＮＯＦ天神南ビル,野村不動産ｵﾌｨｽﾌｧﾝﾄﾞ投資法人,35.85,,,,,,,24.4,,,,
2008-04-21,西芝電機,東芝,38.92,,11.3895,22003.4,150.274,913.787,1.31138,50.44,1.88,39.6716,COMPUTR/OFFICE,
2008-04-21,Red Spot Paint & Varnish Co Inc,藤倉化成,63.2,34.5482,,343.274,,21.2779,,27.45,,,,PAINT REL PROD
2008-04-22,五星,国際航業ホールディングス,1.38,,,490.277,,,,,,,HOLDING CO NEC,ENGINEER SVC
2008-04-22,GMO ゲームポット,ソニーネットワークコミュニケーションズ,2.13,68.3879,,715.64,22.1029,0.810844,,18.98,,,,
2008-04-22,Gracenote Inc,ソニーグループ,260.0,84.2094,,64791.7,,952.473,,59.69,,,RADIO/TV EQUIP,
2008-04-22,"ﾆｭｰｼﾃｨﾚｼﾞﾃﾞﾝｽ学芸大学,ﾆｭｰｼﾃｨﾚｼﾞﾃﾞﾝｽ洗足公園",Unnamed Buyer,21.51,,,,,,,,,,,
2008-04-23,池田商店,タケエイ,9.19,21.4509,,308.46,,10.9936,,19.09,,,,SCRAP MATERIAL
2008-04-23,移動体通信事業,コネクシオ,72.55,210.83,,1343.99,,0.560528,,13.6,,,,
2008-04-23,ローソン･シーエス･カード,クレディセゾン,6.47,447.733,,,,,,27.54,,,,
2008-04-24,事務所･駐車場,研音,8.91,,,,,,,,,,THEATER PROD,
2008-04-24,"Minera El Tesoro,Minera Centinela",丸紅,1401.0,2916.88,,61513.6,,,,30.39,,,,
2008-04-24,エムシーツー,プライベート･インベスター,3.06,,,,,,,,,,,ADVERT AGENCY
2008-04-24,和光学生ハイツ,ｱﾄﾞﾊﾞﾝｽ･ﾚｼﾞﾃﾞﾝｽ投資/旧,6.46,,,,,,,13.11,,,,
2008-04-24,One London Wall/London,DICｱｾｯﾄ,268.02,34.5716,,,,,,,,,,
2008-04-25,首都圏流通センター,KRF3 Ltd,10.06,,,,,,,,,,,
2008-04-25,日本テレコムインボイス,ソフトバンクグループ,244.39,6962.65,,26905.7,,,,26.71,,,PHONE NO RADI,
2008-04-28,KDX岩本町ビル,ケネディクス・オフィス投資法人,17.86,,,,,,,,,,,
2008-04-28,浪速通運,三菱製紙,1.24,61.1266,,1339.71,,92.4871,,7.06,,,,LOCL TRK NO ST
2008-04-30,コマツＮＴＣ,小松製作所,36.49,,,17135.6,756.818,571.684,,42.59,,,CONSTR MACHINE,
2008-04-30,三和電子,京写,4.75,11.5367,,151.29,,10.1437,,3.29,,,,
2008-04-30,1750 K Street NW,住友商事,76.0,3540.76,,38918.0,,1180.41,,32.76,,,,
2008-04-30,ニスカ,キヤノンファインテック,4.18,,,1039.17,345.228,,,,,,,
2008-05-01,ココチケア,ユニマットライフ,5.27,,,282.973,,,,,,,,RESDNTL CARE
2008-05-01,土地及び建物,毎日コムネット,3.11,14.4953,,112.299,,0.209088,,0.59,,,,
2008-05-01,こさど丸,新屋敷商事,5.75,,,,,,,,,,,
2008-05-04,One Boeing 737-800,NECｷｬﾋﾟﾀﾙｿﾘｭｰｼｮﾝ,43.0,74.8989,,,,,,5.728,,,,
2008-05-05,Thermalex Inc,三菱マテリアル,13.5,443.413,,13215.5,,1229.72,,31.23,,,,
2008-05-06,Kontiki Inc,ｲﾃﾞﾗ ｷｬﾋﾟﾀﾙﾏﾈｰｼﾞﾒﾝﾄ,1.0,,,,,,,,,,,PREPAKG SOFTW
2008-05-08,3700 Industries Road/Richmond,ＴＢＫ,4.0,18.6681,,396.759,,19.4738,,14.81,,,,
2008-05-08,Summit Gulf Venture LLC,Tammany Oil & Gas LLC,10.0,,,,,,,,,,CRUDE PETR/NG,
2008-05-09,Silvue Technologies Group Inc,三井化学,95.0,1422.97,,9801.83,,748.766,,29.8,,,,
2008-05-09,K-twoエフェクト,ユニマットK-twoエフェクト,7.28,,,,,,,,,,,BEAUTY SHOP
2008-05-09,ニューロン,あいホールディングス,1.99,49.0571,,230.135,,5.63507,,17.63,,,,
2008-05-09,ｷﾃｨﾗｲﾂ&ｴﾝﾀｰﾃｲﾝﾒﾝﾄ,プライベート･インベスター,1.94,,,,,,,,,,,
2008-05-09,学研ビル,三井住友ﾌｨﾅﾝｼｬﾙｸﾞﾙｰﾌﾟ,234.86,6102.84,,,,,,37.12,,,COML BANK NEC,
2008-05-09,NHテクノグラス,ｶｰﾗｲﾙ･ｸﾞﾙｰﾌﾟ,169.84,1733.7,,,,,,,,,INVEST ADVICE,
2008-05-12,メディコ･二十一,レデイ薬局,6.1,54.2406,,358.226,,,,0.01,,,,
2008-05-12,倉庫･事務所,トルク,2.41,13.8477,,139.076,,,,0.425,,,,
2008-05-12,ケンウッド,日本ビクター,752.76,506.205,,3832.73,1103.77,114.635,,,24.67,319.323,,
2008-05-12,ゼクシス,日ｺﾝﾋﾟｭｰﾀ･ﾀﾞｲﾅﾐｸｽ,4.56,8.2852,,143.277,,,,1.08,,,,PRGRMNG SVC
2008-05-13,日本トイザらス,ﾄｲｻﾞらｽ,316.98,,129.707,8790.0,1241.81,,1.79089,,68.17,531.057,HOBBY SHOPS,
2008-05-13,SA Tech Co Ltd,ナ・デックス,1.38,20.9538,,236.473,,7.03475,,17.53,,,,
2008-05-13,コーエーテクモネット,コーエー,16.42,,2.58309,152.815,148.985,,0.000891248,,0.02,8.08433,,
2008-05-13,ユージン,タカラトミー,1.89,125.715,7.11426,859.571,66.61,8.16382,,18.46,0.58,29.227,,
2008-05-13,阪急電鉄本社ビル,阪急阪神リート投資法人,107.13,,,,,,,8.31,,,,
2008-05-14,ハムソーセージ卸売事業,ローマイヤ,2.45,,,87.6469,,,,,,,SAUSG/OTH MEAT,
2008-05-14,Temp staffing business,クリエアナブキ,1.14,4.61997,,46.8558,,0.00867914,,1.3,,,,
2008-05-14,土地及び建物,ﾛｰﾝ･ｽﾀｰ･ｸﾞﾛｰﾊﾞﾙ･ｱｸｲｼﾞｯｼｮﾝｽﾞ,182.42,,,,,,,,,,MISC INVSTRS,
2008-05-14,天幸総建,コマーシャル・アールイー,18.48,22.7363,,314.246,,,,34.08,,,,
2008-05-14,セカンドストリート,ゲオホールディングス,51.82,429.98,,1865.17,50.6218,,,15.35,,,,
2008-05-14,ダヴィンチ三田,ケネディクス,45.23,26.5767,,,,,,55.566,,,,
2008-05-14,大府工場,複数買収者,19.56,,,,,,,,,,,
2008-05-14,工場/台湾省台南,Fong Kee International Machinery Co Ltd,3.42,,,,,,,,,,,
2008-05-14,賃貸用マンション/あざみ野,Ｂｅｌｌコーポレーション,1.36,,,,,,,,,,,
2008-05-15,オハラ･クオーツ,オハラ,6.42,15.3363,,147.668,,22.3726,,3.6,,,,GLASS PRESS/BL
2008-05-15,ＫＤＸ晴海ビル,ケネディクス・オフィス投資法人,97.67,,,,,,,,,,,
2008-05-15,リコーエレメックス,リコー,102.24,5172.9,,10691.0,569.394,,,42.51,,,PHOTOG EQUIP,
2008-05-15,ソーテック,オンキヨーサウンド＆ビジョン株式会社,16.58,,5.9537,395.089,133.25,,11.5693,,21.53,21.6473,,
2008-05-15,Fujian Landi Commercial Equipment Co Ltd,Smartview Resource Ltd,8.65,,,,,,,,,,,CALCULATORS
2008-05-15,土地及び建物,Unnamed Buyer,1.24,,,,,,,,,,,
2008-05-15,毎日映像音響システム,日本電通,2.24,16.1356,,298.941,,0.243165,,0.378,,,,ELECTRICAL WRK
2008-05-15,コンサルタント事業部門,オリエンタルコンサルタンツホールディングス,7.62,49.2948,,481.317,,,,1.3,,,,
2008-05-15,アミ･コーポレーション,ダスキン,6.22,186.493,,805.573,,16.0835,,13.53,,,,
2008-05-15,イーネット・ジャパン,ノジマ,1.75,394.295,1.03468,3611.54,28.7661,,0.0043561,14.97,0.17,6.66549,,
2008-05-15,大東コンクリートヒダ興業,デイ・シイ,1.72,12.4966,,225.889,,11.4667,,2.39,,,,CONCRETE-MIX
2008-05-16,"寛斎デザイン研究所商標権,寛斎スーパースタジオ",寛斎アソシエイツ,11.55,,,,,,,,,,,
2008-05-16,Schott Processing Korea Co,ＡＧＣ,48.12,2857.4,,10699.9,,1052.52,,22.38,,,,
2008-05-16,Royce Too LLC,岡本,19.25,,,,,,,,,,HOSIERY NEC,
2008-05-16,カシオマイクロニクス,カシオ計算機,19.89,349.94,44.6462,1306.04,157.439,72.9681,6.60854,17.84,0.02,14.5207,,
2008-05-20,Chevalier Pipe Technologies GmbH,積水化学工業,38.57,1040.73,,7128.95,,307.576,,37.51,,,,STEEL PIPE
2008-05-20,Neowiz Japan,ゲームオン,10.03,,,26.7106,,,,,,,,PREPAKG SOFTW
2008-05-20,昭和炭酸,昭和電工,8.26,360.383,,9948.29,214.086,657.086,,20.28,,,,INDUSTRIAL GAS
2008-05-20,アイチケット,エムスリー,1.95,210.632,,708.383,,,,31.5,,,,COMMUN SRV NEC
2008-05-21,店舗-静岡県浜松市中区幸,丸八不動産,2.71,,,,,,,,,,REAL EST AGENT,
2008-05-21,U3 Pharma GmbH,第一三共,236.34,2283.58,,3185.47,,330.811,,34.63,,,PHARM PREPS,NONCOML RSRCH
2008-05-22,イムコア･カイノス,Immucor Inc,4.24,,,147.258,,11.84,,,,,DIAG SUBSTANCE,
2008-05-22,ヒダカ電器商会,ケーズホールディングス,3.51,540.168,,5068.28,,0.976404,,26.7,,,,
2008-05-22,エム・エス・コミュニケーションズ,ティーガイア,238.07,257.317,,3841.98,,0.632854,,14.614,,,,
2008-05-23,ミサワホーム福島,東北ミサワホーム,7.99,25.2964,,265.663,,,,5.25,,,,
2008-05-23,ダイキ　アルミニウム　タイ,大紀アルミニウム工業所,8.25,11.2065,,1310.88,,112.494,,11.41,,,,
2008-05-23,東京スター銀行,アドバンテッジパートナーズ,41.32,,155.797,,,,,,100.0,310.18,,NATL COML BANK
2008-05-23,"ＰＥＩＴ内神田,ＰＥＩＴ池上",インヴィンシブル投資法人,3.01,,,,,,,44.91,,,,
2008-05-23,岩井コスモ証券,ＣＳＫ,224.02,123.413,91.4184,1258.49,,,,12.48,3.69,215.49,,
2008-05-23,エイチエージー,シーエスロジネット,3.6,5.66038,,87.0722,,0.0146578,,,,,,
2008-05-23,ビジュアルリサーチ,リプラス,5.62,30.3359,,,,,,14.84,,,,PREPAKG SOFTW
2008-05-26,YOU TV,ナイス,6.0,110.103,,1722.77,,,,7.26,,,,CABLE/OTHR PAY
2008-05-26,Victor Advanced Media KK,太陽誘電,1.93,138.912,,2090.65,,161.848,,29.77,,,,DURABLE GOODS
2008-05-26,自家発電事業関連設備/四日市,四日市エネルギーサービス,69.47,,,,,,,,,,ELECTRIC SVC,
2008-05-26,工場･事務所/大和市,エイヴイ,70.55,,,,,,,,,,GROCERY STORE,
2008-05-26,ホッコク室町ビル/日本橋,三井不動産,27.63,533.282,,16401.2,,,,46.04,,,,
