取引ﾀｲﾌﾟ	発表日	ﾀｰｹﾞｯﾄ会社名	買収側の社名	売却側の社名	発表時ﾃﾞｨｰﾙ総額(百万)	取引状況	売却側企業 12ｶ月EBITDA	売却側企業 12ｶ月営業利益率	売却側企業 12ｶ月粗利益率	売却側企業 過去12ｶ月売上高	買収側企業 12ｶ月EBITDA	買収側企業 12ｶ月営業利益率	買収側企業 12ｶ月粗利益率	買収側企業 過去12ｶ月売上高	ﾀｰｹﾞｯﾄ企業 12ｶ月EBITDA	ﾀｰｹﾞｯﾄ企業 12ｶ月営業利益率	ﾀｰｹﾞｯﾄ企業 12ｶ月粗利益率	ﾀｰｹﾞｯﾄ企業 過去12ｶ月売上高	売却側のﾃｨｯｶｰ	売却側企業 従業員総数	売却側企業 産業ｸﾞﾙｰﾌﾟ	買収側のﾃｨｯｶｰ	買収側企業 従業員総数	買収側企業 産業ｸﾞﾙｰﾌﾟ	ﾀｰｹﾞｯﾄ会社のﾃｨｯｶｰ	ﾀｰｹﾞｯﾄ企業 従業員総数	ﾀｰｹﾞｯﾄ企業 産業ｸﾞﾙｰﾌﾟ	売却側企業 付加価値	買収側企業 付加価値	ﾀｰｹﾞｯﾄ企業 付加価値	売却側企業 ﾌﾞﾙｰﾑﾊﾞｰｸﾞｺﾝｾﾝｻｽ(BEst)来年度予想 1株当利益(EPS)	売却側企業 ﾌﾞﾙｰﾑﾊﾞｰｸﾞｺﾝｾﾝｻｽ(BEst)本年度予想 1株当利益(EPS)	買収側企業 ﾌﾞﾙｰﾑﾊﾞｰｸﾞｺﾝｾﾝｻｽ(BEst)来年度予想 1株当利益(EPS)	買収側企業 ﾌﾞﾙｰﾑﾊﾞｰｸﾞｺﾝｾﾝｻｽ(BEst)本年度予想 1株当利益(EPS)	ﾀｰｹﾞｯﾄ企業 ﾌﾞﾙｰﾑﾊﾞｰｸﾞｺﾝｾﾝｻｽ(BEst)来年度予想 1株当利益(EPS)	ﾀｰｹﾞｯﾄ企業 ﾌﾞﾙｰﾑﾊﾞｰｸﾞｺﾝｾﾝｻｽ(BEst)本年度予想 1株当利益(EPS)
M&A	09/24/2012	新富士化水工業	クボタ	戸田工業	11.56	Completed	17.1132	2.77169	18.6688	287.026	2916.89	11.6477	29.4108	19446.9					4100 JP	1208	Chemicals	6326 JP	41605	Machinery-Diversified	0625777D JP		Environmental Control						165.559	156.91		
M&A	03/30/2016	IIF Urayasu Machinery Maintenance Center/Chiba	産業ファンド投資法人	三菱商事	11.56	Completed	5773.41	0.626944	11.7547	131597	174.872	52.0136		269.377					8058 JP	82997	Distribution/Wholesale	3249 JP		Real Estate			Real Estate				418.694	430.099				
M&A	08/07/2008	井上製作所	古河電気工業		11.56	Completed					433.69	1.5753	16.0458	8019.98							N.A.	5801 JP	48449	Electrical Compo&Equip	INMFRZ JP		Miscellaneous Manufactur						258.679	196.501		
M&A	01/31/2018	オオゼキときわ台店	ケネディクス商業リート投資法人	ケネディクス	11.55	Completed	144.074	62.5831		208.503	94.2522	47.6577		155.988					4321 JP		Diversified Finan Serv	3453 JP		REITS			Real Estate									
M&A	05/16/2008	"寛斎デザイン研究所商標権,寛斎スーパースタジオ"	寛斎アソシエイツ	ヤマノホールディングス	11.55	Completed	4.83313	2.92707	50.4347	125.373									7571 JP	664	Retail	KSASOZ JP		Apparel			Apparel									
M&A	03/20/2015	アズハイム光が丘	ヘルスケア＆メディカル投資法人	SMBCヘルスケアホルダー合同会社	11.55	Completed					28.9288	51.9551		38.6995					1251228D JP		Real Estate	3455 JP		REITS			Home Builders									
M&A	07/17/2014	ブレイン・ラボ	じげん		11.55	Completed					1.5028	-5.37555	83.7187	127.55							N.A.	3679 JP	772	Internet	1039661D JP		Commercial Services						29.15	24.5		
M&A	03/29/2006	土地及び建物/鹿児島	ＫＬファンドワン	九州リースサービス	11.54	Completed	44.5863	56.9762		56.3457									8596 JP	152	Diversified Finan Serv	KLFDOZ JP		Country Funds-Closed-end			Diversified Finan Serv									
M&A	05/20/2010	クレゾー	あかつき本社		11.54	Completed					32.6355	14.351		174.436							N.A.	8737 JP	359	Diversified Finan Serv	CREZOZ JP		Trucking&Leasing									
M&A	07/22/2011	レジディア大井	スター・マイカ・ホールディングス	アドバンス・レジデンス投資法人	11.53	Completed	206.964	48.9533		314.882	37.1534	10.2234	15.3382	361.812					3269 JP		REITS	2975 JP	158	Real Estate			Real Estate						156.595	130.98		
