ﾀｰｹﾞｯﾄ会社名	買収側の社名	売却側の社名	発表時ﾃﾞｨｰﾙ総額(百万)	発表ﾌﾟﾚﾐｱﾑ	売却側企業 営業利益(損失)	買収側企業 営業利益(損失)	ﾀｰｹﾞｯﾄ企業 営業利益(損失)	買収側企業 内部留保率	買収側企業 利付き負債(米国以外)	買収側企業 利子負担率	買収側企業 有利子負債	買収側企業 流動負債/総資本	買収側企業 現金比率	買収側企業 総負債/自己資本	買収側企業 財務ﾚﾊﾞﾚｯｼﾞ	ﾀｰｹﾞｯﾄ企業 内部留保率	ﾀｰｹﾞｯﾄ企業 利付き負債(米国以外)	ﾀｰｹﾞｯﾄ企業 利子負担率	ﾀｰｹﾞｯﾄ企業 有利子負債	ﾀｰｹﾞｯﾄ企業 流動負債/総資本	ﾀｰｹﾞｯﾄ企業 現金比率	ﾀｰｹﾞｯﾄ企業 総負債/自己資本	ﾀｰｹﾞｯﾄ企業 財務ﾚﾊﾞﾚｯｼﾞ
ＮＢＦ南青山ビル	Unnamed Buyer	日本ビルファンド投資法人	289.56		319.375																		
International Refreshment Thailand Co Ltd	サントリー食品インターナショナル	ﾍﾟﾌﾟｼｺ	289.25		10080	901.983		53.842		97.5271		28.3643	0.375073	91.4219	2.04219								
"CS大河原町発電所,CS日出町第二発電所"	カナディアン・ソーラー・インフラ投資法人	"ティーダ・パワー４５合同会社,LOHAS ECE ２ 合同会社"	289.21			21.7665				86.3694			1.64639	108.706	2.14786								
プロロジスパーク東京大田	日本プロロジスリート投資法人	東京大田特定目的会社	288.85			203.919				95.1672			0.84237	71.3934	1.71167								
浦和パルコ	パルコ	日本都市ファンド投資法人	288.24		257.773	49.1297		27.7745		72.0559		19.5367	0.16153	116.983	2.1215								
Nile Acquisition LLC	ソニーグループ	Estate of Michael Jackson	287.5			9059.36		94.1955		98.389		29.6546	0.600021	371.843	5.09158								
Air Gases Technos Co Ltd	インターアクション	ｴｱ･ﾘｷｰﾄﾞ	287.49		4167.44	16.4849		80.574		99.5598		15.3419	4.08584	27.9544	1.27551								
１ｓｔホールディングス	モノリスホールディングス		287.42	42.92			51.0868									63.2088		94.8731		37.9005	0.444108	125.954	2.579
大手町建物青山ビル	日本ビルファンド投資法人	エンデバー･プライベート･ファンド	287.09			319.375				93.9277			2.14968	79.6277	1.85355								
GLP Urayasu III & GLP Komaki	ＧＬＰ投資法人	GLP	286.72		456.491	204.681				92.8729			0.293309	90.2127	1.90912								
キヤノンファインテック	キヤノン		286.57	16.51		1035.83				99.775		28.6706	0.307464	71.5165	1.78642			100					
野村土地建物	野村ホールディングス		286.41			2175.95		30.0426			348258			1475.36	16.1761								
エディオンＥＡＳＴ	エディオン		285.98	7.67		252.666	-6.35162	70.3842		98.9384		26.8761	0.41496	99.2406	1.96727			132.367		36.6226	0.25105	100.516	1.97511
TAGGY	アイモバイル	"プライベート･インベスター,サイバーエージェント 　,デジタルホールディングス,西川アソシエイツ"	285.77			31.6832		6.52015		100		22.1592	3.66441	29.0244	1.22935								
Assist Japan Corp	パーソルキャリア		285							97.9716													
株式会社長谷工不動産	長谷工コーポレーション	TPG Savills Financial Holdings Ltd	284.89			687.759		58.6701		97.785		28.5178	0.796516	141.823	2.24156			106.719					
High Grace II/Sendai	プライベート･インベスター	ｻｲｾﾞﾝREIT	284.25		11.6133																		
アマダメトレックス	アマダ		284.09	13.94		251.911	4.87267	43.8268		93.6943		15.2733	1.19278	23.818	1.2707	57.5058				21.4922	0.951312	33.7042	1.41123
丸栄	興和/愛知		283.69			128.734	-4.48619	89.4767		83.2617		48.0912	0.273042	307.273	4.35539			123.298		26.1355	0.088551	123.624	2.21332
株式会社三十三銀行	三重銀行		283.07	-1.45		57.9799	46.2882	76.6803	16847.8					1507.6	15.6571	73.1097	17122.3					2353.48	24.6615
メトロフォン・サービス	ソフトバンクグループ		282.98			76714.2		98.1258		95.1571		28.1767	0.525936	347.819	5.48523								
三菱樹脂	三菱ケミカルホールディングス		282.8	14.33		300.709	254.135			81.382		28.2285	0.26626	300.571	4.32957	62.7312		95.4658		48.4214	0.109985	229.497	3.44002
渋谷クロスタワー	ｼﾞｬﾊﾟﾝﾘｱﾙｴｽﾃｲﾄ投資法人	クレディ･スイス･グループ	282.37		3968.15	311.085				94.2276			0.350185	94.4125	1.92718								
ＪＡ三井リース	三井物産		282.24			1347.24	140.865	57.4942		92.2319		21.5864	0.362197	168.321	2.8996	78.1274			13843.3			954.97	10.7634
3 buildings/Japan	日本都市ファンド投資法人	三菱商事	281.96		304.831	257.773		5.71739		89.518			0.885719	98.1366	2.02307								
80% KANKAKU COMPUTER SYSTEMS	富士ソフト	みずほｲﾝﾍﾞｽﾀｰｽﾞ証券	281.76		98.9692	149.659		81.3951		99.6195		29.3135	0.644791	83.1234	1.90549								
"53 MWp Oita Hiji-machi,8 MWp Miyagi Ogawara"	カナディアン・ソーラー・インフラ投資法人	ｶﾅﾃﾞｨｱﾝ･ｿｰﾗｰ	281.04		220.43	21.7665				86.3694			1.64639	108.706	2.14786								
恵比寿プライムスクエア	ｱｸﾃｨﾋﾞｱ･ﾌﾟﾛﾊﾟﾃｨｰｽﾞ投資法人	合同会社ルージュ	280.62			153.418				91.5253			0.461625	105.562	2.05574								
